1521333421.029000 /muse/acc fff  257.8129 941.4077 132.81271
1521333421.053000 /muse/acc fff  261.71915 945.31396 132.81271
1521333421.081000 /muse/eeg ffff  564.2283 863.6147 820.8452 891.57935
1521333421.081000 /muse/eeg/quantization iiii  1 1 1 1
1521333421.081000 /muse/eeg ffff  569.1632 863.6147 819.2002 888.28937
1521333421.081000 /muse/eeg ffff  569.1632 861.9697 819.2002 888.28937
1521333421.081000 /muse/eeg ffff  567.5182 863.6147 819.2002 891.57935
1521333421.081000 /muse/eeg ffff  560.9383 863.6147 819.2002 891.57935
1521333421.081000 /muse/eeg ffff  572.4532 865.25964 819.2002 889.9344
1521333421.081000 /muse/eeg ffff  572.4532 863.6147 820.8452 883.35443
1521333421.081000 /muse/eeg ffff  575.7431 863.6147 820.8452 875.1295
1521333421.081000 /muse/eeg ffff  570.80817 861.9697 820.8452 863.6147
1521333421.081000 /muse/eeg ffff  565.8732 860.3247 820.8452 855.3898
1521333421.081000 /muse/eeg ffff  574.09814 861.9697 822.4902 852.0998
1521333421.081000 /muse/eeg ffff  565.8732 861.9697 822.4902 845.5199
1521333421.081000 /muse/eeg ffff  560.9383 860.3247 822.4902 842.2299
1521333421.081000 /muse/eeg ffff  562.58325 861.9697 820.8452 838.94
1521333421.082000 /muse/elements/alpha_relative ffff  0.17963536 0.19885102 0.13220586 0.26647314
1521333421.082000 /muse/elements/beta_relative ffff  0.0827557 0.07490469 0.12970105 0.09669862
1521333421.082000 /muse/elements/delta_relative ffff  0.5575955 0.65696913 0.60201555 0.23965059
1521333421.082000 /muse/elements/gamma_relative ffff  0.043123495 0.017280377 0.02302002 0.04296587
1521333421.082000 /muse/elements/theta_relative ffff  0.13688996 0.051994767 0.11305752 0.35421178
1521333421.082000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333421.082000 /muse/elements/is_good iiii  1 1 1 0
1521333421.082000 /muse/elements/blink i  0
1521333421.082000 /muse/elements/jaw_clench i  0
1521333421.082000 /muse/elements/touching_forehead i  1
1521333421.082000 /muse/elements/experimental/concentration f  0.8948452
1521333421.082000 /muse/elements/experimental/mellow f  1.0
1521333421.083000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  19.823109 25.882492 18.107763 7.798566 7.9875903 9.690273 7.832378 4.821552 3.1566088 3.4583635 -0.3097639 -3.4027433 -3.0014997 -5.823899 -2.795622 -1.377534 -1.8483479 -6.408174 -3.1017745 -5.777194 -5.728222 -10.52491 -7.443341 -10.058633 -10.337898 -8.844685 -12.005505 -11.597862 -11.848521 -14.142207 -11.983745 -6.0392823 -9.416733 -11.6763 -5.948432 -5.4484825 -4.3168736 -13.429147 -14.208328 -13.425109 -12.218135 -13.549035 -11.529603 -9.282642 -12.399963 -17.710667 -9.1393585 -10.254638 -12.2984705 -13.297945 -13.901735 -14.567821 -16.369223 -14.296298 -17.371675 -11.240907 -13.064061 -16.717863 -14.211498 -13.813289 -12.488412 -11.637783 -17.354088 -15.522186 -16.288696 -18.626963 -20.505621 -23.704115 -25.356972 -28.379335 -26.094372 -25.401001 -18.553926 -23.597582 -21.645952 -15.891619 -19.92333 -22.031452 -20.330427 -15.549366 -15.857466 -19.56542 -16.695728 -17.856033 -22.660164 -18.659834 -10.843249 -11.438733 -14.572677 -14.7774315 -15.1895685 -13.755257 -17.755676 -20.594923 -13.460632 -11.602539 -10.571722 -15.493643 -14.118178 -16.763609 -16.069496 -16.348307 -13.2602215 -14.315557 -14.237102 -17.466194 -18.426973 -17.085955 -13.295043 -15.74331 -12.315164 -15.215271 -17.108973 -20.295229 -22.50892 -22.100763 -23.000713 -23.121365 -17.072987 -16.19691 -17.347692 -18.411148 -23.077333 -18.786638 -19.811695 -20.720093 -17.558298 -18.43103 -25.889355
1521333421.083000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -1.4917326 10.748674 1.1559229 -6.1776814 -6.6945047 -13.273517 -13.70054 -13.523574 -17.144327 -9.468315 -11.53924 -17.100914 -21.387484 -16.823868 -16.073048 -18.941679 -18.221567 -16.272057 -16.880646 -17.084564 -15.596691 -18.277437 -19.913597 -17.728838 -16.928093 -19.111624 -17.812714 -19.743357 -22.045103 -20.67083 -22.627594 -19.64028 -17.90478 -18.410002 -21.748192 -24.099188 -24.397009 -25.143251 -22.846329 -25.579088 -21.120459 -21.818203 -23.925407 -26.498573 -26.841394 -20.84988 -22.620935 -23.176176 -23.732853 -23.220186 -23.43438 -24.214134 -24.46612 -22.942085 -24.1763 -27.460136 -30.926098 -27.784279 -21.3265 -21.313116 -25.177717 -27.819809 -26.950583 -31.504646 -30.039677 -29.160015 -31.302238 -32.72958 -32.369125 -33.401695 -34.840275 -33.127033 -29.221418 -30.781408 -30.930735 -27.104172 -22.722042 -24.36015 -26.001259 -24.594757 -25.929783 -26.945381 -21.970272 -27.561462 -30.861732 -31.636797 -25.390081 -23.761019 -28.195406 -32.252567 -29.92972 -29.97179 -32.56389 -26.346313 -24.792768 -28.107697 -28.135729 -36.450634 -39.856426 -32.437313 -31.26072 -30.08661 -26.338417 -26.001633 -24.713078 -27.598509 -27.967855 -26.791231 -32.399124 -27.336826 -28.150253 -28.430567 -27.666391 -32.550407 -32.091846 -27.123257 -28.626198 -28.545065 -32.18514 -34.100994 -24.39037 -22.55571 -26.459929 -27.380354 -27.888763 -29.783407 -29.214996 -32.592045 -30.896841
