1521333421.029000 /muse/acc fff  257.8129 941.4077 132.81271
1521333421.084000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -2.5056808 10.171927 -2.8247356 -5.7274365 -9.236415 -10.132344 -12.471072 -8.064378 -11.541593 -11.257476 -15.535325 -14.345756 -19.638216 -16.157116 -16.805237 -17.82937 -18.911615 -16.948067 -17.905745 -15.927248 -20.000996 -18.736712 -19.202074 -19.064386 -14.301998 -17.023415 -14.574794 -15.369325 -15.177543 -18.775345 -18.942335 -17.086416 -18.165226 -18.2467 -21.97997 -22.89206 -26.401625 -27.25563 -24.294952 -25.684801 -25.964592 -26.382233 -23.499182 -23.228426 -25.995415 -21.19947 -22.104542 -27.262272 -23.253159 -23.89105 -27.51211 -24.533356 -21.035524 -24.432775 -22.8026 -23.14188 -21.386534 -21.449932 -27.249596 -21.84675 -22.259058 -25.865427 -22.32206 -27.32527 -28.72576 -24.179031 -24.481052 -27.390352 -28.83288 -35.553707 -34.6435 -39.21646 -34.453266 -35.101826 -27.237654 -29.678942 -27.570318 -25.58309 -24.434698 -26.355104 -27.168898 -22.45057 -27.725735 -29.574348 -28.24305 -23.276058 -25.908699 -28.34274 -24.246151 -24.939867 -24.746456 -26.556772 -29.75342 -27.657858 -26.740608 -24.264973 -24.540943 -23.892914 -26.066727 -23.78147 -21.541332 -25.48352 -26.323328 -25.602194 -28.005194 -28.689137 -29.717731 -33.708645 -37.953213 -34.871403 -34.263695 -33.10985 -30.522638 -30.81466 -25.4634 -25.037033 -30.395124 -32.80303 -29.81295 -25.346872 -28.714613 -32.8746 -33.354225 -32.314278 -30.229877 -27.92716 -29.311775 -29.291542 -30.099768
1521333421.084000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  17.374807 22.530712 20.522388 16.100672 14.062801 13.2964525 14.78652 17.238277 12.568499 14.2619295 14.744114 10.086784 0.32181427 -2.1693153 -3.3424566 -1.8022335 2.1446834 1.0527613 -0.009307137 0.1755175 -5.96189 -5.190377 -5.3800287 -4.021251 -3.7910485 -3.3193624 -5.242996 -9.279081 -7.9127283 -9.117357 -7.579571 -4.530792 -10.336771 -18.675608 -13.277641 -12.784374 -15.223597 -14.393785 -9.43805 -9.367103 -10.355799 -9.483834 -10.708467 -7.8267136 -12.249816 -13.245151 -11.012012 -13.483333 -20.08159 -15.137748 -13.766033 -9.951433 -15.567414 -14.882816 -9.495065 -11.184534 -14.799913 -17.066303 -21.512852 -19.210066 -15.197396 -13.879787 -16.140945 -22.86348 -23.137918 -21.768908 -24.748768 -22.923172 -27.353817 -29.021269 -26.263624 -27.181137 -25.791166 -22.192633 -20.615166 -21.861712 -20.027752 -19.692675 -19.039314 -20.316523 -21.907932 -17.004902 -15.096737 -20.236794 -23.884804 -22.574682 -20.838013 -23.102823 -19.840305 -17.6816 -19.95274 -18.483799 -16.831781 -19.632517 -15.499111 -20.139076 -24.223133 -19.199242 -20.937855 -23.635092 -24.587326 -26.185297 -27.85829 -22.344137 -20.407015 -15.155446 -15.490463 -20.034882 -19.254917 -19.06044 -19.542656 -25.737022 -18.407806 -19.846899 -25.242092 -19.15106 -19.701792 -25.75394 -22.724617 -24.901749 -28.043274 -24.975977 -23.782232 -24.37705 -24.361017 -29.640005 -28.73119 -27.144766 -22.753057
1521333421.084000 /muse/elements/low_freqs_absolute ffff  1.3777755 0.5280929 0.33148712 1.3546778
1521333421.084000 /muse/elements/alpha_absolute ffff  0.79050416 -0.02400338 -0.4016126 1.0066454
1521333421.084000 /muse/elements/beta_absolute ffff  0.45391026 -0.44802222 -0.40991983 0.56641227
1521333421.084000 /muse/elements/delta_absolute ffff  1.2824316 0.49501377 0.2567444 0.96057045
1521333421.084000 /muse/elements/gamma_absolute ffff  0.1708263 -1.084978 -1.1607577 0.2141156
1521333421.084000 /muse/elements/theta_absolute ffff  0.672484 -0.60657156 -0.46956387 1.130255
1521333421.085000 /muse/elements/alpha_session_score ffff  0.546875 0.4 0.072289154 0.8630137
1521333421.085000 /muse/elements/beta_session_score ffff  0.05882353 0.15555556 0.39534885 0.95348835
1521333421.085000 /muse/elements/delta_session_score ffff  0.84033614 0.26811594 0.046511628 0.11111111
1521333421.085000 /muse/elements/gamma_session_score ffff  0.0 0.028169014 0.0 1.0
1521333421.085000 /muse/elements/theta_session_score ffff  0.9775281 0.0 0.08391608 0.80582523
1521333421.085000 /muse/eeg ffff  560.9383 861.9697 819.2002 827.4251
1521333421.085000 /muse/eeg ffff  569.1632 861.9697 819.2002 827.4251
1521333421.090000 /muse/acc fff  261.71915 941.4077 132.81271
1521333421.090000 /muse/acc fff  257.8129 941.4077 128.90645
1521333421.099000 /muse/drlref ff  1641935.5 1648387.1
1521333421.122000 /muse/acc fff  257.8129 941.4077 125.0002
1521333421.134000 /muse/acc fff  257.8129 941.4077 125.0002
1521333421.170000 /muse/eeg ffff  562.58325 860.3247 820.8452 827.4251
1521333421.170000 /muse/eeg/quantization iiii  1 1 1 1
1521333421.170000 /muse/eeg ffff  564.2283 860.3247 820.8452 830.7151
1521333421.170000 /muse/eeg ffff  572.4532 861.9697 822.4902 842.2299
1521333421.170000 /muse/eeg ffff  567.5182 861.9697 824.13513 848.8099
1521333421.170000 /muse/eeg ffff  562.58325 861.9697 824.13513 852.0998
1521333421.170000 /muse/eeg ffff  551.0684 858.67975 824.13513 855.3898
1521333421.170000 /muse/eeg ffff  551.0684 857.0347 824.13513 863.6147
1521333421.170000 /muse/eeg ffff  552.7134 858.67975 824.13513 870.1946
1521333421.170000 /muse/eeg ffff  556.00336 858.67975 825.78015 876.77454
1521333421.170000 /muse/eeg ffff  554.3584 860.3247 825.78015 883.35443
1521333421.170000 /muse/eeg ffff  557.6483 860.3247 825.78015 884.99945
1521333421.170000 /muse/eeg ffff  562.58325 860.3247 827.4251 893.2243
1521333421.170000 /muse/eeg ffff  560.9383 860.3247 825.78015 896.5143
1521333421.170000 /muse/eeg ffff  554.3584 860.3247 824.13513 896.5143
1521333421.170000 /muse/eeg ffff  551.0684 860.3247 824.13513 901.4492
1521333421.170000 /muse/eeg ffff  554.3584 860.3247 824.13513 903.09424
1521333421.171000 /muse/eeg ffff  560.9383 858.67975 824.13513 904.7392
1521333421.171000 /muse/acc fff  257.8129 941.4077 128.90645
1521333421.179000 /muse/acc fff  261.71915 945.31396 128.90645
1521333421.190000 /muse/acc fff  265.62543 941.4077 132.81271
1521333421.203000 /muse/drlref ff  1641935.5 1648387.1
1521333421.230000 /muse/acc fff  257.8129 941.4077 128.90645
1521333421.230000 /muse/eeg ffff  562.58325 855.3898 824.13513 904.7392
1521333421.230000 /muse/eeg/quantization iiii  1 1 1 1
1521333421.230000 /muse/eeg ffff  569.1632 858.67975 824.13513 901.4492
1521333421.230000 /muse/eeg ffff  574.09814 858.67975 824.13513 901.4492
1521333421.231000 /muse/elements/alpha_relative ffff  0.17346576 0.19751516 0.16389336 0.26647314
1521333421.231000 /muse/elements/beta_relative ffff  0.079115175 0.080056675 0.12949099 0.09669862
1521333421.231000 /muse/elements/delta_relative ffff  0.5637986 0.64556044 0.55264854 0.23965059
1521333421.231000 /muse/elements/gamma_relative ffff  0.04253284 0.01999995 0.024104299 0.04296587
1521333421.231000 /muse/elements/theta_relative ffff  0.1410876 0.056867804 0.12986283 0.35421178
1521333421.231000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333421.231000 /muse/elements/is_good iiii  1 1 1 0
1521333421.231000 /muse/elements/blink i  0
1521333421.231000 /muse/elements/jaw_clench i  0
1521333421.231000 /muse/elements/touching_forehead i  1
1521333421.231000 /muse/elements/experimental/concentration f  0.8948452
1521333421.231000 /muse/elements/experimental/mellow f  1.0
1521333421.231000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  19.807806 27.606691 19.97635 8.693577 9.509921 11.555644 9.815127 5.856424 5.0091977 4.5333586 1.6547093 -3.0300624 -2.6265454 -4.774235 -2.3630528 -0.17661549 -1.3123281 -5.102185 -2.898495 -5.663368 -5.0594444 -9.551715 -6.7448025 -10.236105 -9.44519 -8.916297 -11.82532 -10.776813 -11.791045 -14.271415 -11.336459 -5.5140347 -9.829849 -11.355944 -6.607125 -6.1459646 -4.5162992 -14.946451 -14.089308 -13.007975 -11.844362 -11.957387 -10.921213 -9.647866 -12.82735 -18.225285 -8.845526 -10.159941 -12.327923 -13.709656 -14.04258 -14.735888 -15.213734 -12.980155 -17.077738 -11.363979 -12.987974 -16.828436 -14.339027 -14.178362 -13.477769 -11.628022 -17.151215 -14.486258 -15.619572 -18.233479 -20.898464 -23.448141 -24.834055 -27.89354 -25.655876 -25.274778 -18.471563 -21.82805 -19.886404 -15.5533 -19.90547 -20.365952 -19.074608 -15.401308 -15.703577 -18.732328 -15.915071 -17.977207 -23.086407 -18.438871 -10.853382 -11.511915 -14.145078 -14.672634 -14.882982 -13.609839 -16.772701 -20.794348 -14.208606 -11.479964 -10.136435 -16.867887 -14.909451 -17.112177 -16.940464 -15.998546 -12.818155 -14.4728365 -14.295384 -17.093458 -18.527359 -15.68052 -12.323419 -15.864389 -12.033397 -14.502805 -17.017176 -20.15032 -22.367474 -21.287354 -22.831953 -23.376755 -18.021332 -16.567146 -17.654257 -18.026987 -23.37922 -18.804258 -20.09452 -20.844126 -17.428276 -18.434303 -26.342863
1521333421.232000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -1.0790074 10.709613 0.24798432 -6.146631 -5.6842012 -13.293841 -13.29163 -12.545835 -16.490025 -9.118648 -10.217732 -15.962435 -22.508724 -15.569429 -15.255176 -19.038418 -17.376917 -16.6114 -17.174042 -15.764702 -14.324534 -18.780697 -21.16219 -17.246872 -16.49707 -20.24302 -19.84659 -21.483976 -22.119038 -20.448957 -22.153357 -19.658352 -16.749723 -17.579433 -22.576443 -24.364473 -25.453293 -25.533997 -23.177204 -24.398285 -20.70824 -21.105927 -22.454432 -25.261305 -27.811975 -19.604313 -20.591604 -22.993292 -22.826534 -21.774794 -23.356634 -23.503618 -22.50739 -21.63746 -24.3879 -28.322374 -30.831339 -28.033854 -21.22417 -20.91384 -24.893637 -27.9109 -26.271505 -31.555733 -30.070395 -29.00282 -30.323296 -32.813564 -32.65748 -33.42162 -35.6468 -33.20855 -29.310719 -30.793957 -29.65114 -25.993723 -21.852488 -24.229803 -26.066357 -24.554897 -26.25042 -26.735048 -21.943905 -27.719423 -29.950554 -30.461597 -25.053436 -23.360283 -26.820074 -30.19498 -29.675133 -30.812778 -32.390663 -25.790094 -24.67911 -27.531305 -27.847307 -35.581833 -40.29109 -34.074394 -32.66553 -29.835466 -25.675394 -26.140621 -24.850721 -27.629963 -27.657127 -25.53715 -32.161655 -27.037111 -27.430046 -28.126305 -28.028168 -32.434704 -32.321293 -26.526743 -28.25587 -28.845676 -32.250492 -32.820488 -24.631983 -22.341362 -27.222605 -27.328886 -28.730154 -30.055807 -29.492657 -32.63767 -30.085878
1521333421.233000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -3.5519686 10.120581 -3.5213125 -5.271993 -7.5825706 -9.905157 -10.933817 -7.0369573 -11.657875 -10.573829 -13.572622 -14.01463 -18.896872 -14.944313 -15.384703 -17.708925 -18.878479 -18.390808 -17.825415 -15.307576 -18.309122 -18.910229 -19.545725 -19.296734 -14.096548 -16.403109 -15.133735 -15.756001 -14.459534 -17.777723 -17.867273 -16.95238 -18.347004 -18.85857 -23.078041 -21.974466 -25.12756 -27.751747 -23.962658 -26.7029 -25.281342 -25.150234 -22.102312 -23.084034 -26.690647 -20.491669 -20.86895 -26.948338 -22.771097 -22.650778 -27.833279 -25.045963 -20.36403 -23.226076 -23.1481 -23.186481 -21.336266 -21.41819 -26.500648 -21.129047 -21.54336 -25.386719 -21.89554 -26.255524 -28.773666 -24.166382 -24.482885 -26.75313 -28.801317 -35.77599 -34.57005 -40.810246 -35.077286 -35.400494 -27.442278 -29.354574 -26.875061 -25.53292 -23.938913 -26.388077 -26.609964 -22.056208 -27.859795 -29.594398 -28.128166 -23.243765 -25.816204 -28.245686 -24.23377 -26.855772 -25.463278 -26.486902 -28.971022 -26.927488 -25.589018 -23.543842 -24.153316 -23.616268 -24.97828 -23.3151 -21.513931 -24.708885 -25.329586 -25.815708 -26.957836 -27.711168 -29.261536 -33.796318 -37.039436 -34.26667 -34.387592 -32.520737 -30.476107 -30.302559 -25.970556 -25.31468 -29.0128 -31.405745 -30.049875 -25.851017 -28.964993 -33.211105 -33.148113 -31.774559 -29.247175 -27.819822 -29.35472 -29.73904 -30.749075
1521333421.233000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  17.255972 21.894854 20.325073 16.1436 14.057142 13.047463 14.72249 16.92903 11.841793 13.913788 14.63704 9.940261 0.014958422 -3.3245008 -4.9380317 -1.7151512 1.947728 0.9458615 -0.06779963 0.3948275 -5.6684446 -5.497679 -5.6901345 -4.14291 -4.055713 -3.1888626 -5.0291095 -9.276927 -7.9503026 -8.79538 -7.3065195 -4.4788065 -10.328197 -17.788328 -13.707512 -13.520478 -15.752371 -14.594299 -9.742587 -9.234715 -10.087828 -9.985205 -10.649161 -8.057575 -12.50321 -13.265685 -11.368127 -13.973557 -19.934242 -14.709976 -13.341837 -9.97658 -15.409054 -14.969996 -10.005079 -11.149065 -14.720346 -16.82236 -21.523787 -18.235842 -14.732539 -13.689711 -15.769304 -21.455729 -22.69947 -22.178282 -24.159046 -23.495287 -27.666115 -29.394878 -26.145536 -26.921028 -24.737293 -22.316545 -20.302261 -21.570517 -19.87671 -19.601282 -19.61354 -20.587137 -21.354507 -16.920319 -15.152339 -20.300081 -22.62577 -22.574053 -21.250732 -22.598263 -20.028336 -18.324413 -21.285986 -18.504467 -17.385395 -19.227365 -14.770795 -19.741823 -24.48573 -19.340452 -20.699104 -23.156103 -24.589447 -26.584475 -27.251572 -22.82153 -20.907867 -14.857057 -15.784336 -20.094292 -19.821886 -19.23444 -19.473856 -24.582726 -18.643877 -19.493708 -25.51197 -19.329412 -19.369408 -25.74249 -22.114992 -24.845896 -29.09351 -24.625635 -23.874079 -24.292765 -23.894918 -29.299707 -28.411549 -29.145676 -23.99729
1521333421.234000 /muse/elements/low_freqs_absolute ffff  1.3994094 0.4947628 0.3208145 1.3546778
1521333421.234000 /muse/elements/alpha_absolute ffff  0.79050416 -0.056238733 -0.29873404 1.0066454
1521333421.234000 /muse/elements/beta_absolute ffff  0.4495502 -0.44844162 -0.40105584 0.56641227
1521333421.234000 /muse/elements/delta_absolute ffff  1.3024144 0.45809773 0.22915363 0.96057045
1521333421.234000 /muse/elements/gamma_absolute ffff  0.18001482 -1.0508102 -1.1312009 0.2141156
1521333421.234000 /muse/elements/theta_absolute ffff  0.7007793 -0.5969727 -0.39981052 1.130255
1521333421.234000 /muse/elements/alpha_session_score ffff  0.546875 0.36486486 0.19277108 0.8630137
1521333421.234000 /muse/elements/beta_session_score ffff  0.05882353 0.15555556 0.4047619 0.95348835
1521333421.234000 /muse/elements/delta_session_score ffff  0.86440676 0.24637681 0.034883723 0.11111111
1521333421.234000 /muse/elements/gamma_session_score ffff  0.024390243 0.08450704 0.0 1.0
1521333421.234000 /muse/elements/theta_session_score ffff  1.0 0.0 0.12230216 0.80582523
1521333421.234000 /muse/eeg ffff  570.80817 858.67975 825.78015 906.38416
1521333421.234000 /muse/eeg ffff  569.1632 860.3247 822.4902 908.0292
1521333421.234000 /muse/eeg ffff  560.9383 858.67975 824.13513 911.3191
1521333421.234000 /muse/eeg ffff  557.6483 858.67975 824.13513 909.67413
1521333421.234000 /muse/eeg ffff  552.7134 858.67975 824.13513 908.0292
1521333421.234000 /muse/eeg ffff  546.1335 857.0347 825.78015 909.67413
1521333421.234000 /muse/eeg ffff  546.1335 858.67975 825.78015 908.0292
1521333421.234000 /muse/eeg ffff  552.7134 857.0347 827.4251 898.15924
1521333421.234000 /muse/eeg ffff  559.29333 857.0347 827.4251 891.57935
1521333421.234000 /muse/eeg ffff  556.00336 857.0347 825.78015 878.4195
1521333421.234000 /muse/eeg ffff  554.3584 855.3898 827.4251 871.8396
1521333421.234000 /muse/eeg ffff  549.42346 855.3898 827.4251 868.5496
1521333421.234000 /muse/eeg ffff  552.7134 855.3898 827.4251 865.25964
1521333421.234000 /muse/acc fff  257.8129 941.4077 128.90645
1521333421.257000 /muse/acc fff  257.8129 941.4077 128.90645
1521333421.270000 /muse/acc fff  253.90665 941.4077 128.90645
1521333421.287000 /muse/acc fff  250.0004 941.4077 128.90645
1521333421.301000 /muse/eeg ffff  562.58325 855.3898 827.4251 870.1946
1521333421.301000 /muse/eeg/quantization iiii  1 1 1 1
1521333421.301000 /muse/eeg ffff  554.3584 853.7448 825.78015 870.1946
1521333421.301000 /muse/eeg ffff  556.00336 853.7448 827.4251 873.48456
1521333421.301000 /muse/eeg ffff  560.9383 855.3898 829.07007 878.4195
1521333421.301000 /muse/eeg ffff  562.58325 853.7448 830.7151 878.4195
1521333421.301000 /muse/eeg ffff  572.4532 855.3898 829.07007 883.35443
1521333421.301000 /muse/eeg ffff  577.3881 857.0347 827.4251 884.99945
1521333421.302000 /muse/eeg ffff  560.9383 855.3898 829.07007 886.6444
1521333421.302000 /muse/eeg ffff  556.00336 855.3898 827.4251 888.28937
1521333421.302000 /muse/elements/alpha_relative ffff  0.16736192 0.18558851 0.17634417 0.26647314
1521333421.302000 /muse/elements/beta_relative ffff  0.07639101 0.08643208 0.1300129 0.09669862
1521333421.303000 /muse/elements/delta_relative ffff  0.5677185 0.6386173 0.5162414 0.23965059
1521333421.303000 /muse/elements/gamma_relative ffff  0.042105563 0.023128098 0.026675912 0.04296587
1521333421.303000 /muse/elements/theta_relative ffff  0.146423 0.066234075 0.15072565 0.35421178
1521333421.303000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333421.303000 /muse/elements/is_good iiii  1 1 1 0
1521333421.303000 /muse/elements/blink i  0
1521333421.303000 /muse/elements/jaw_clench i  0
1521333421.303000 /muse/elements/touching_forehead i  1
1521333421.303000 /muse/elements/experimental/concentration f  0.8948452
1521333421.303000 /muse/elements/experimental/mellow f  1.0
1521333421.303000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  20.104261 28.720615 21.144516 9.566885 10.538811 13.040338 10.895219 6.720536 5.687382 5.5485415 2.6388316 -2.9050734 -2.471991 -4.001382 -2.1207454 0.24401522 -0.42342854 -4.8314047 -2.272504 -5.989396 -4.875394 -7.572152 -6.3931255 -10.6571865 -8.767058 -8.9279995 -11.304036 -10.558593 -10.998388 -13.768572 -9.686178 -5.395759 -10.026884 -10.602371 -7.2428527 -6.931791 -4.8998156 -14.7313795 -13.566134 -12.829889 -11.302528 -11.026411 -10.379367 -10.079486 -12.359629 -17.050932 -8.796716 -10.212123 -12.254529 -14.533058 -14.228221 -13.682558 -13.698786 -12.27799 -16.803963 -11.340027 -13.3373165 -17.123102 -14.648602 -14.655908 -14.0399065 -11.686553 -16.284304 -13.724615 -14.726571 -18.279467 -21.155384 -21.951933 -24.717607 -26.983862 -25.297392 -24.1271 -18.723066 -20.059002 -19.469402 -14.82062 -19.95013 -19.804523 -17.38459 -14.941355 -15.72603 -17.61868 -14.91422 -18.235527 -23.175043 -18.336445 -11.108755 -11.531046 -14.060563 -14.688044 -14.363922 -13.636799 -15.818093 -20.265516 -15.002729 -11.4771 -9.959502 -17.255241 -15.219939 -17.654697 -17.258684 -15.223164 -12.734967 -14.763626 -14.36213 -16.822506 -18.747007 -13.924785 -11.827065 -15.652464 -11.800527 -13.945581 -16.56022 -20.093767 -21.808676 -20.827772 -22.390678 -23.27979 -19.113169 -17.277283 -17.559605 -17.479593 -23.91908 -18.831066 -20.559563 -21.157022 -17.519781 -18.558361 -27.320044
1521333421.304000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  1.1089731 10.648021 -0.19160587 -5.808246 -4.9625354 -13.207948 -13.459238 -11.11239 -15.705821 -8.722753 -8.918813 -14.997172 -22.71038 -14.648643 -14.360989 -18.664946 -16.817974 -16.139898 -17.671257 -14.760632 -13.458201 -19.043356 -22.189505 -16.692652 -16.066614 -21.38919 -22.00488 -22.914532 -21.413363 -19.77037 -21.630144 -19.66961 -16.009695 -16.659576 -22.710941 -23.948717 -26.21846 -25.676851 -23.53047 -23.805098 -20.595028 -20.601683 -21.686247 -23.595291 -27.81873 -18.42178 -18.858362 -22.760927 -21.876282 -20.55855 -23.384064 -23.182001 -21.13808 -20.499851 -24.178062 -29.302223 -30.416466 -28.405064 -21.345945 -20.705133 -24.539806 -28.106499 -25.426508 -31.155237 -29.7473 -28.083195 -29.715738 -33.068447 -32.937714 -33.476273 -37.142494 -33.299496 -29.505436 -30.77468 -28.77261 -25.190563 -21.373709 -24.262959 -26.283188 -24.749565 -26.875639 -26.630539 -21.997599 -27.485182 -28.94725 -29.051298 -24.855118 -23.101166 -26.058893 -28.306845 -29.12315 -31.064262 -30.959265 -25.395742 -24.714495 -26.446243 -26.749374 -34.967865 -40.104126 -36.093025 -34.05675 -29.485006 -25.313282 -26.459263 -25.190014 -27.696377 -26.93648 -24.455338 -31.081083 -26.765064 -26.905237 -27.746136 -28.596586 -32.33709 -32.157356 -26.108816 -28.141745 -29.311958 -32.220272 -32.002605 -24.881607 -22.334993 -27.521347 -27.443665 -30.131977 -30.35732 -29.987133 -32.675636 -29.505907
