1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319789.987000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -3.3660836 0.25901338 0.03617355 -5.028182 -5.8763485 -7.2082314 -5.8208737 -6.066249 -7.8212113 -8.027353 -8.310344 -11.024578 -17.929798 -16.442327 -16.99106 -15.355157 -14.372952 -12.361725 -13.323263 -7.7070193 -6.8813047 -6.0530744 -6.473693 -5.407359 -7.891205 -15.115867 -11.769657 -11.337441 -10.892587 -6.2191668 -7.430854 -3.8449152 -9.906401 -10.448991 -10.690443 -12.411783 -7.2868166 -9.131058 -15.505808 -21.546463 -11.499698 -8.314426 -6.2848763 -9.408722 -11.879274 -11.910932 -12.545746 -9.987234 -14.056517 -13.4813595 -11.040936 -11.644257 -15.26123 -12.4504385 -5.565332 -6.3889766 -12.770008 -18.480356 -12.477015 -14.6688385 -14.446341 -11.7248535 -13.993327 -17.564054 -20.47308 -16.360691 -15.04877 -20.297987 -21.614635 -25.59809 -28.0622 -23.016987 -21.364319 -18.316315 -13.417034 -12.002426 -14.25715 -14.830239 -10.201775 -8.0817 -10.196014 -14.59091 -15.14491 -14.988693 -15.603701 -21.070488 -23.645123 -14.79577 -12.028914 -15.67068 -16.322062 -12.128945 -13.460285 -16.702257 -17.376001 -15.693889 -13.689244 -14.203921 -14.112436 -13.428163 -16.660202 -15.701487 -15.438275 -20.009674 -25.195053 -16.30961 -12.050532 -15.873851 -19.053427 -12.317064 -15.866846 -25.847597 -23.057924 -23.756332 -20.106308 -20.290857 -17.742802 -16.065832 -20.426216 -20.964125 -21.70042 -26.779081 -29.19235 -23.3263 -25.547375 -28.086277 -26.102255 -23.859123 -24.263908
1521319789.988000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  -9.318061 -1.6109867 2.1877036 4.2615643 8.306872 1.6228391 -1.1757754 0.5480008 3.4356883 0.36831024 3.761237 1.1500026 -2.449819 0.0037865331 -4.1616545 -6.845709 -5.025521 -6.4076524 -8.474982 -5.428114 -1.8699788 -3.3801122 -4.698998 -3.886101 -5.708686 -8.650404 -8.903912 -8.266833 -5.42024 -5.1324277 -6.0555134 -3.5640657 -5.703392 -12.797355 -11.83516 -12.304464 -14.498114 -13.793752 -9.135777 -8.532249 -8.789866 -9.91644 -10.198592 -10.605299 -9.112798 -9.395335 -9.024041 -11.958237 -10.863151 -8.392078 -6.4377823 -5.194328 -7.90839 -14.6918545 -9.708608 -13.323735 -17.684107 -15.497978 -10.219442 -10.199781 -11.0022745 -13.543784 -14.432707 -19.139315 -18.602184 -12.988163 -17.242186 -21.150091 -20.535831 -28.357582 -27.155699 -25.19344 -25.284742 -27.145435 -21.066128 -17.845062 -17.700663 -16.881533 -15.637816 -14.147942 -14.375481 -14.676327 -15.94934 -15.336555 -13.13513 -12.256947 -12.350166 -17.663956 -14.574152 -13.079416 -12.989223 -13.174429 -17.410654 -13.677524 -18.158152 -21.181879 -13.608023 -11.2813835 -15.364578 -13.881534 -11.486555 -12.195182 -13.250718 -13.566597 -14.754489 -13.693513 -13.882769 -16.143965 -18.028429 -18.969063 -21.915712 -16.208277 -14.848163 -22.08913 -23.87368 -14.874598 -1.7201468 -3.4380248 -18.671974 -16.87422 -14.401121 -19.217663 -21.352587 -17.924633 -18.00925 -21.01113 -20.619404 -27.073856 -25.385738
1521319789.988000 /muse/elements/low_freqs_absolute ffff  1.4200689 0.34406897 0.69472766 1.2597966
1521319789.988000 /muse/elements/alpha_absolute ffff  1.3389394 0.37503508 0.13254765 0.984571
1521319789.988000 /muse/elements/beta_absolute ffff  1.2878212 0.43198538 0.46176794 0.77106506
1521319789.988000 /muse/elements/delta_absolute ffff  1.0119306 0.1231494 0.53487194 1.0170752
1521319789.988000 /muse/elements/gamma_absolute ffff  1.3038353 0.22115718 0.22288555 0.31178808
1521319789.988000 /muse/elements/theta_absolute ffff  1.2048883 -0.05526853 0.18319246 0.89139724
1521319789.988000 /muse/elements/alpha_session_score ffff  0.41379312 0.23529412 0.11320755 0.125
1521319789.988000 /muse/elements/beta_session_score ffff  0.0 0.8125 0.86206895 0.62068963
