1521319789.866000 /muse/acc fff  -308.59424 937.50146 105.46892
1521319793.733000 /muse/elements/low_freqs_absolute ffff  1.5753691 1.873019 1.4020816 1.936936
1521319793.733000 /muse/elements/alpha_absolute ffff  1.1117039 0.8018792 0.2710853 1.2355584
1521319793.733000 /muse/elements/beta_absolute ffff  1.3513234 0.46670824 0.40739438 0.93145907
1521319793.733000 /muse/elements/delta_absolute ffff  1.3546958 1.823015 1.3276243 1.8189576
1521319793.733000 /muse/elements/gamma_absolute ffff  1.0293267 0.19446042 0.12320498 0.3969779
1521319793.733000 /muse/elements/theta_absolute ffff  1.1756601 0.9094771 0.5995082 1.3132995
1521319793.733000 /muse/elements/alpha_session_score ffff  0.0 1.0 0.4716981 0.75609756
1521319793.733000 /muse/elements/beta_session_score ffff  0.17391305 0.8666667 0.6 1.0
1521319793.733000 /muse/elements/delta_session_score ffff  1.0 1.0 0.9910714 1.0
1521319793.733000 /muse/elements/gamma_session_score ffff  0.0 0.64 0.47619048 0.4722222
1521319793.733000 /muse/elements/theta_session_score ffff  0.7222222 0.9529412 0.9722222 1.0
1521319793.733000 /muse/eeg ffff  787.945556641 756.690979004 880.064453125 896.514282227
1521319793.733000 /muse/eeg ffff  835.650024414 764.91583252 886.64440918 903.094238281
1521319793.733000 /muse/eeg ffff  824.135131836 773.14074707 878.419494629 896.514282227
1521319793.733000 /muse/eeg ffff  845.519897461 774.785766602 878.419494629 898.159240723
1521319793.734000 /muse/eeg ffff  814.265258789 776.430725098 880.064453125 896.514282227
1521319793.734000 /muse/acc fff  -328.125518799 929.688964844 97.6564025879
1521319793.734000 /muse/acc fff  -324.219268799 929.688964844 101.562660217
1521319793.736000 /muse/acc fff  -320.312988281 933.595214844 101.562660217
1521319793.752000 /muse/drlref ff  1629032.25 1648387.125
1521319793.752000 /muse/acc fff  -320.312988281 933.595214844 101.562660217
1521319793.772000 /muse/eeg ffff  863.614685059 786.300598145 876.774536133 904.739196777
1521319793.772000 /muse/eeg/quantization iiii  2 1 1 1
1521319793.772000 /muse/eeg ffff  827.425109863 778.075683594 876.774536133 896.514282227
1521319793.772000 /muse/eeg ffff  880.064453125 783.010620117 881.709472656 901.44921875
1521319793.772000 /muse/eeg ffff  817.555236816 776.430725098 871.839599609 884.999450684
1521319793.772000 /muse/eeg ffff  827.425109863 779.720703125 871.839599609 893.224304199
1521319793.772000 /muse/eeg ffff  827.425109863 781.365661621 870.194580078 888.289367676
1521319793.772000 /muse/eeg ffff  807.68536377 784.655639648 876.774536133 889.934387207
1521319793.772000 /muse/eeg ffff  824.135131836 786.300598145 881.709472656 899.804260254
1521319793.773000 /muse/eeg ffff  774.785766602 783.010620117 870.194580078 881.709472656
1521319793.773000 /muse/eeg ffff  843.874938965 796.170471191 866.904663086 883.354431152
1521319793.773000 /muse/eeg ffff  804.395385742 791.235534668 858.679748535 870.194580078
1521319793.773000 /muse/eeg ffff  837.29498291 794.525512695 861.969726562 878.419494629
1521319793.773000 /muse/eeg ffff  801.105407715 794.525512695 853.744812012 871.839599609
1521319793.773000 /muse/eeg ffff  830.715087891 801.105407715 852.09979248 858.679748535
1521319793.773000 /muse/eeg ffff  830.715087891 809.330322266 863.614685059 861.969726562
1521319793.773000 /muse/eeg ffff  866.904663086 817.555236816 863.614685059 861.969726562
1521319793.773000 /muse/acc fff  -320.312988281 933.595214844 101.562660217
1521319793.802000 /muse/acc fff  -316.406738281 933.595214844 101.562660217
1521319793.821000 /muse/acc fff  -316.406738281 929.688964844 105.468917847
1521319793.840000 /muse/acc fff  -320.312988281 933.595214844 101.562660217
1521319793.840000 /muse/eeg ffff  842.229919434 814.265258789 858.679748535 878.419494629
1521319793.840000 /muse/elements/alpha_relative ffff  0.15451229 0.07393534 0.05999605 0.14714536
1521319793.840000 /muse/elements/beta_relative ffff  0.26827645 0.033556856 0.08395024 0.071410544
1521319793.840000 /muse/elements/delta_relative ffff  0.27036777 0.7787474 0.68460816 0.5808523
1521319793.840000 /muse/elements/gamma_relative ffff  0.12781619 0.017249964 0.044204716 0.021364653
1521319793.840000 /muse/elements/theta_relative ffff  0.1790273 0.09651049 0.12724085 0.17922711
1521319793.840000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319793.840000 /muse/elements/is_good iiii  0 1 1 1
1521319793.841000 /muse/elements/blink i  0
1521319793.841000 /muse/elements/jaw_clench i  0
1521319793.841000 /muse/elements/touching_forehead i  1
1521319793.841000 /muse/elements/experimental/concentration f  0.0
1521319793.841000 /muse/elements/experimental/mellow f  0.17145376
1521319793.841000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  16.896685 20.517672 17.529097 16.684189 18.919106 14.765814 12.314109 6.912073 8.915324 7.6426554 4.2860003 8.438512 8.912405 -1.2763823 3.096319 8.123632 9.425433 8.413275 1.9727241 3.639241 5.6005893 2.3474648 -0.013164895 -0.08500963 -5.283214 -5.9055796 0.15746413 0.53002816 -0.73249495 2.3098745 1.719311 -8.5124655 -6.5684056 -2.9330711 -1.504972 -7.3547826 -6.227317 -5.92731 -7.699388 -1.8761085 2.553355 -0.9143088 -1.4981265 -1.5131701 -2.2852285 -2.577421 -5.5757513 -0.74511474 -1.2395674 0.16783479 6.1387444 2.2913976 -2.543631 0.034138914 6.8472033 1.8381654 -2.9837582 -1.6075672 4.560094 0.2936877 -4.7284126 -1.3885484 2.091464 -3.8350682 -4.2458973 -3.5682216 -6.258695 -12.154003 -10.018541 -12.546525 -9.387501 -10.082374 -11.117645 -5.7516813 -3.0641396 -10.4461155 -12.852859 -9.9907 -8.123916 -5.0313525 -4.3612456 1.5884409 0.40293455 -3.1671922 -3.4647326 2.2500958 1.5089294 -4.448354 0.6577975 -0.9719696 -5.579608 -1.144237 -0.04378813 2.985552 1.6000669 -2.0893922 -0.6584998 -1.4986426 -0.045089696 0.2050683 -5.619975 -2.7257445 -3.2360868 -2.9269757 -0.61308587 -8.7615595 -16.249191 -5.927726 0.04702564 -5.28212 -13.419192 -9.458 -6.201286 -6.810833 -11.142922 1.0864213 14.704641 13.157586 -4.019253 -9.5039835 -9.568087 -8.625392 -9.4740925 -8.550081 -7.3645926 -14.665074 -13.534808 -10.708596 -10.157738
1521319793.842000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  11.662195 15.621311 13.882079 10.774381 7.8834558 4.151228 0.67379713 -1.3657508 -4.1388288 -7.0458245 -4.4348364 -1.0789059 -2.6650412 -6.8559465 -6.8016973 -9.7632675 -10.006448 -6.4584594 -11.366016 -11.705696 -8.387077 -6.888083 -9.876008 -13.581275 -10.821636 -14.111301 -9.739105 -6.7922845 -10.017362 -7.270226 -6.8820615 -9.702407 -12.698373 -11.0908165 -10.667791 -12.755915 -19.790901 -16.997896 -13.348109 -11.163126 -7.4240665 -11.608375 -9.869655 -12.525075 -16.499197 -10.314344 -10.385927 -10.730733 -11.083092 -15.466806 -9.995153 -9.035103 -10.18043 -9.790062 -4.8334575 -9.663156 -11.692127 -9.478506 -6.6545563 -6.2096205 -8.523538 -10.433825 -8.439845 -12.386686 -14.019992 -14.160727 -14.678053 -21.307354 -28.200312 -24.563515 -24.159887 -24.234913 -21.038563 -19.466978 -12.390358 -15.586433 -21.93255 -18.38914 -19.096807 -19.415766 -13.125482 -7.232022 -8.819285 -13.508409 -15.614674 -8.241154 -7.856798 -8.628263 -7.9175005 -10.489088 -15.210756 -10.7012 -12.467628 -8.042177 -10.079184 -7.503852 -6.928478 -11.659756 -9.99231 -9.855143 -18.322172 -13.750248 -13.332853 -12.510652 -10.319999 -19.510447 -21.459726 -16.802435 -15.59297 -19.217907 -17.185186 -17.225084 -15.814248 -14.606139 -14.688636 -14.053177 -8.5199795 -10.171495 -19.220972 -23.597923 -21.61771 -20.391499 -20.403467 -19.469439 -17.651983 -23.94992 -21.1686 -26.363997 -23.020222
1521319793.842000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  6.8383512 10.824007 9.527225 6.0127764 2.5410595 -0.28076237 -1.9803683 -4.804134 -8.749105 -7.5967193 -6.4832387 -6.2472677 -11.26486 -6.9922886 -11.252786 -11.558321 -9.103832 -16.978146 -18.454132 -13.413909 -12.8130665 -9.906242 -2.4448225 -4.1148977 -9.873529 -17.111485 -13.395377 -6.654679 -5.7391334 -4.014962 -4.517523 -11.621531 -12.977507 -8.0886 -11.083881 -11.685383 -12.335226 -12.2109375 -6.9385324 -9.355482 -11.43966 -11.20312 -8.748857 -10.42112 -13.49257 -8.81805 -7.8621264 -11.642421 -16.40184 -9.475077 -10.127741 -11.065567 -8.455918 -10.162277 -11.836102 -11.598982 -12.982211 -9.425876 -11.634368 -11.249499 -8.608235 -10.7071495 -12.024458 -12.653393 -18.38525 -20.661509 -17.883726 -16.053188 -21.460474 -32.031715 -27.414238 -19.483063 -16.186491 -17.355833 -17.19851 -13.116616 -15.887993 -12.60578 -15.835038 -14.823981 -13.920191 -13.89759 -14.697642 -10.764146 -12.025842 -12.564439 -11.340588 -11.1239805 -13.156954 -13.776212 -21.651268 -18.35941 -16.002123 -14.601152 -18.868376 -12.88601 -12.5356045 -16.398127 -18.11524 -23.662317 -20.011843 -19.85105 -15.513824 -11.207149 -12.855536 -14.295044 -20.477297 -23.401627 -20.074364 -19.195217 -16.226099 -18.86534 -23.183952 -17.951113 -19.523945 -18.80545 -13.906511 -19.339293 -25.77359 -24.04687 -21.186575 -20.24951 -18.667114 -16.363636 -19.171392 -20.108305 -21.006927 -21.728125 -26.273043
1521319793.842000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.276916 13.565172 13.81585 12.704023 10.851286 8.32087 8.189525 -1.6394414 2.6583238 5.185463 1.3422407 0.13385609 -2.1007755 -2.160589 -1.6417542 -2.705932 -3.3258839 -6.5098886 -7.4278092 -4.1104097 -2.9285119 -5.4391084 -9.290786 -4.724777 -4.27785 -3.1816554 -9.71876 -3.4342523 -1.8809462 -7.292023 -2.9312463 -5.061652 -3.864159 -7.2479653 -5.0321517 -5.258329 -8.593344 -11.651286 -8.421145 -9.938687 -9.802884 -7.487332 -9.996998 -6.545554 -8.769625 -8.11312 -7.531321 -9.919684 -13.6225395 -9.996292 -11.055097 -7.5560474 -10.164421 -14.015386 -13.650587 -16.034256 -15.14257 -12.48057 -11.5266075 -10.399662 -12.184574 -13.912072 -10.045373 -10.72319 -19.084204 -18.712894 -12.977417 -16.938503 -25.446835 -23.261312 -21.828238 -20.017578 -18.824017 -22.241959 -18.316717 -13.694148 -15.653191 -10.043817 -13.018272 -12.206969 -13.285538 -15.517688 -11.397267 -12.71186 -13.792863 -13.977232 -15.296591 -19.331465 -11.861324 -12.937246 -16.116255 -14.478009 -11.465694 -11.551993 -19.501553 -16.391768 -13.291871 -17.211823 -14.713341 -15.877607 -13.281016 -11.501095 -12.938257 -10.405634 -12.866268 -14.50278 -17.349607 -23.554659 -22.241125 -19.039537 -17.043037 -16.457848 -18.554337 -20.555382 -27.241753 -16.57499 -2.8944576 -4.601416 -16.917559 -19.543428 -22.51323 -22.17425 -20.237467 -20.010986 -22.120075 -24.836218 -23.717415 -24.06792 -24.292154
1521319793.842000 /muse/elements/low_freqs_absolute ffff  1.5753691 1.8751632 1.4024379 1.9486707
1521319793.842000 /muse/elements/alpha_absolute ffff  1.1117039 0.8018792 0.2710853 1.2355584
1521319793.843000 /muse/elements/beta_absolute ffff  1.3513234 0.45880842 0.41698456 0.9215741
1521319793.843000 /muse/elements/delta_absolute ffff  1.3546958 1.8244238 1.3284047 1.8318775
1521319793.843000 /muse/elements/gamma_absolute ffff  1.0293267 0.16981535 0.1384312 0.39750764
1521319793.843000 /muse/elements/theta_absolute ffff  1.1756601 0.9176017 0.5975892 1.3212155
1521319793.843000 /muse/elements/alpha_session_score ffff  0.0 1.0 0.4716981 0.75609756
1521319793.843000 /muse/elements/beta_session_score ffff  0.17391305 0.8666667 0.6333333 1.0
1521319793.843000 /muse/elements/delta_session_score ffff  1.0 1.0 1.0 1.0
1521319793.843000 /muse/elements/gamma_session_score ffff  0.0 0.56 0.52380955 0.5
1521319793.843000 /muse/elements/theta_session_score ffff  0.7222222 0.9529412 0.9583333 1.0
1521319793.843000 /muse/eeg/quantization iiii  1 1 1 1
1521319793.843000 /muse/eeg ffff  814.265258789 804.395385742 850.454833984 878.419494629
1521319793.843000 /muse/eeg ffff  850.454833984 809.330322266 852.09979248 881.709472656
1521319793.843000 /muse/eeg ffff  814.265258789 807.68536377 847.164855957 866.904663086
1521319793.843000 /muse/eeg ffff  845.519897461 812.620300293 852.09979248 865.259643555
1521319793.843000 /muse/eeg ffff  799.460449219 814.265258789 848.809875488 847.164855957
1521319793.844000 /muse/eeg ffff  817.555236816 815.91027832 843.874938965 848.809875488
1521319793.844000 /muse/eeg ffff  815.91027832 822.49017334 850.454833984 842.229919434
1521319793.844000 /muse/eeg ffff  855.389770508 814.265258789 840.584960938 847.164855957
1521319793.844000 /muse/eeg ffff  837.29498291 814.265258789 842.229919434 852.09979248
1521319793.844000 /muse/eeg ffff  815.91027832 812.620300293 840.584960938 868.549621582
1521319793.844000 /muse/eeg ffff  819.200195312 824.135131836 842.229919434 866.904663086
1521319793.844000 /muse/eeg ffff  815.91027832 824.135131836 845.519897461 861.969726562
1521319793.844000 /muse/eeg ffff  866.904663086 825.780151367 848.809875488 857.034729004
1521319793.844000 /muse/eeg ffff  824.135131836 830.715087891 847.164855957 858.679748535
1521319793.844000 /muse/eeg ffff  824.135131836 827.425109863 838.940002441 866.904663086
1521319793.852000 /muse/acc fff  -324.219268799 933.595214844 101.562660217
1521319793.852000 /muse/drlref ff  1629032.25 1648387.125
1521319793.868000 /muse/acc fff  -320.312988281 929.688964844 101.562660217
1521319793.902000 /muse/acc fff  -320.312988281 929.688964844 101.562660217
1521319793.925000 /muse/eeg ffff  776.430725098 824.135131836 829.070068359 855.389770508
1521319793.925000 /muse/eeg/quantization iiii  1 1 1 1
1521319793.925000 /muse/eeg ffff  840.584960938 832.360046387 832.360046387 853.744812012
1521319793.926000 /muse/eeg ffff  814.265258789 830.715087891 847.164855957 857.034729004
1521319793.926000 /muse/eeg ffff  827.425109863 825.780151367 842.229919434 850.454833984
1521319793.926000 /muse/eeg ffff  815.91027832 830.715087891 850.454833984 848.809875488
1521319793.926000 /muse/eeg ffff  794.525512695 815.91027832 835.650024414 835.650024414
1521319793.926000 /muse/eeg ffff  842.229919434 820.845214844 840.584960938 822.49017334
1521319793.926000 /muse/elements/alpha_relative ffff  0.15451229 0.072803944 0.05895585 0.1470732
1521319793.927000 /muse/elements/beta_relative ffff  0.26827645 0.031752415 0.083149694 0.068626784
1521319793.927000 /muse/elements/delta_relative ffff  0.27036777 0.7802914 0.689242 0.5861903
1521319793.927000 /muse/elements/gamma_relative ffff  0.12781619 0.016183184 0.044776764 0.020921871
1521319793.927000 /muse/elements/theta_relative ffff  0.1790273 0.09896908 0.12387571 0.17718787
1521319793.927000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319793.927000 /muse/elements/is_good iiii  0 1 1 1
1521319793.927000 /muse/elements/blink i  0
1521319793.927000 /muse/elements/jaw_clench i  0
1521319793.927000 /muse/elements/touching_forehead i  1
1521319793.927000 /muse/elements/experimental/concentration f  0.0
1521319793.927000 /muse/elements/experimental/mellow f  0.16106717
1521319793.928000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  15.825867 19.871292 16.960585 15.755803 18.174704 14.426763 11.796753 6.1538 8.693886 7.456267 4.517903 8.313917 8.423889 -1.9951198 1.7735572 7.3200245 9.52706 7.8888645 1.210847 2.758075 4.5355825 1.8961079 -0.08868214 -0.23871385 -5.6577206 -5.467099 0.56368256 0.5597049 -1.0462492 0.70737284 1.1315948 -6.2953386 -5.3734894 -2.60429 -2.6688035 -11.11133 -7.37171 -5.5353436 -8.353125 -3.6299706 2.229225 -1.3597441 -0.3388595 -0.5252739 -2.4581082 -2.7909021 -4.4947186 0.22277556 -0.7662234 -0.30539548 5.82187 1.8158351 -2.063065 -0.029781185 7.051849 2.279594 -2.6964855 -2.0167558 4.0326834 -0.4044902 -5.2042403 -2.0403886 1.8953458 -4.7367263 -4.21775 -3.791241 -6.155429 -12.429855 -10.14306 -13.194245 -9.374488 -10.357 -11.683536 -6.3072877 -4.058038 -10.715881 -13.359925 -9.863311 -8.068689 -6.050924 -5.4879284 1.2486244 0.5112772 -3.3462114 -3.6723275 2.6804209 1.7838694 -4.6365438 -0.15565713 -1.8029116 -6.5523844 -1.8512217 -0.23697783 3.227915 1.417095 -2.158108 -0.35216865 -1.6239618 -0.4562907 -0.26821387 -5.762394 -2.9512298 -3.559532 -2.5310392 -0.7314414 -9.7079525 -15.419306 -5.426175 0.7672103 -5.1782737 -13.573012 -8.091467 -5.6082554 -7.1794224 -11.996943 1.2709073 14.820465 13.239822 -4.143819 -9.755039 -9.579913 -9.173177 -9.512477 -8.120711 -6.753496 -15.330451 -13.179408 -10.838905 -11.489977
1521319793.928000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.628009 15.106451 11.872336 9.061286 5.851488 2.5781338 -1.0384865 -1.3340902 -4.238891 -7.561201 -4.7204103 -2.01977 -3.9557216 -8.720107 -8.45954 -11.367738 -10.145715 -7.971597 -11.583191 -11.258293 -9.153303 -6.775482 -9.138798 -13.961399 -11.306245 -12.796592 -8.704955 -6.83843 -9.889187 -7.310474 -6.929554 -10.088437 -13.346724 -10.666136 -11.84319 -13.710424 -19.208258 -17.734621 -14.846385 -11.903606 -7.354153 -12.135188 -8.916455 -10.619802 -16.474094 -10.018546 -10.3432865 -10.314665 -10.352102 -16.01566 -10.57591 -8.571665 -9.621715 -9.621776 -4.8153377 -9.96843 -11.38322 -9.270777 -6.991205 -6.162491 -9.051042 -10.675273 -8.16852 -12.415552 -13.673477 -13.561047 -14.076927 -20.922365 -27.678905 -24.364979 -24.658007 -24.657303 -20.66872 -19.5459 -13.292242 -15.748161 -22.529718 -17.75255 -18.788311 -18.679882 -12.581408 -7.538228 -8.9619665 -13.889955 -16.753963 -7.6398053 -7.581125 -8.334644 -8.353249 -11.370588 -15.997278 -11.446197 -13.211565 -8.034366 -10.190101 -7.7064795 -6.573263 -11.422565 -10.329948 -10.251967 -19.216509 -13.491271 -13.515765 -11.968471 -10.145113 -20.416235 -21.54862 -15.706894 -13.927435 -19.721498 -17.89664 -16.576582 -14.827065 -14.658809 -14.725015 -13.396903 -8.1498575 -10.099185 -19.161299 -23.893536 -21.711151 -20.227444 -19.817825 -18.91085 -17.34016 -24.661097 -21.178616 -26.131407 -23.788021
1521319793.928000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  6.3581786 10.5960655 8.035306 4.4034634 1.7641416 -2.35862 -3.500156 -6.058926 -8.964611 -7.7171326 -6.9256406 -6.5787134 -11.986657 -7.119907 -11.845305 -11.568075 -9.107043 -17.759996 -19.04439 -14.267517 -13.6588125 -9.860078 -2.0712209 -3.998208 -10.359114 -17.891695 -13.754961 -6.8789926 -5.616606 -4.085133 -4.6852145 -11.123678 -13.346553 -7.920557 -11.22562 -11.590018 -12.610167 -13.037826 -7.313864 -9.669721 -12.047081 -11.797188 -8.208166 -10.186356 -14.355435 -8.531842 -8.091145 -11.283653 -16.896572 -9.256761 -10.133839 -10.315127 -8.975054 -10.960519 -11.683401 -12.285895 -13.39141 -9.656284 -11.916942 -10.896955 -9.027315 -10.932907 -12.281205 -12.851038 -19.203424 -20.384298 -17.731203 -16.186054 -21.324032 -32.197666 -27.812557 -19.866554 -16.223484 -17.231867 -18.196915 -13.230451 -15.392199 -12.134086 -15.334791 -14.121508 -13.912031 -14.389399 -14.643537 -11.17786 -12.201958 -12.445847 -11.750945 -10.968092 -13.154386 -13.819749 -21.316229 -18.60405 -16.143984 -14.1494875 -18.417332 -12.2333765 -11.883016 -15.580631 -17.737679 -23.000063 -19.688429 -19.253569 -15.301182 -10.953383 -11.815837 -13.374034 -19.280014 -21.93616 -19.688025 -19.582754 -16.105522 -18.15978 -23.853504 -18.903704 -20.028402 -18.36197 -13.524163 -19.45916 -25.01622 -24.523521 -21.287374 -20.01387 -18.416008 -16.459803 -18.680231 -19.872591 -20.86695 -21.24959 -24.945715
1521319793.928000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  11.114297 14.232119 13.018405 11.835305 9.745428 7.6946607 7.847913 -1.5615625 2.4961402 4.871488 0.0150392465 -1.822252 -4.560175 -3.1539903 -2.0620606 -3.1016443 -3.4943519 -6.733333 -7.2798157 -4.5238066 -3.603605 -6.5468054 -11.900974 -5.0661383 -4.290137 -3.7740335 -9.636754 -3.477094 -1.6220342 -8.011745 -3.0820165 -4.3115664 -3.7269335 -6.3906035 -4.845705 -5.55353 -8.883252 -12.302603 -9.402582 -10.012105 -10.150406 -7.6725025 -9.718178 -7.188193 -8.692121 -7.893095 -7.943252 -9.391291 -13.222038 -10.062166 -12.308534 -8.17563 -10.597099 -13.793208 -13.797597 -15.9682865 -14.97612 -12.44417 -11.119787 -10.310305 -12.202527 -13.092322 -9.718265 -10.732718 -18.253283 -19.621807 -12.880983 -17.709711 -24.759027 -23.01215 -21.97875 -20.65395 -19.25155 -21.981567 -19.344305 -14.451559 -15.7926 -10.776274 -13.684512 -11.8909235 -13.608603 -15.995948 -11.877255 -12.555755 -15.8044 -15.310842 -14.499936 -19.524542 -12.311085 -12.969686 -14.942869 -14.361348 -11.543101 -12.261309 -19.346058 -16.890774 -12.825334 -15.078057 -15.276858 -15.871532 -13.269241 -11.703541 -12.969132 -10.695919 -13.309096 -15.537114 -17.322046 -23.639074 -22.215023 -19.005653 -16.968603 -15.897646 -18.71571 -21.053988 -25.854883 -15.7503195 -2.7259157 -4.4862022 -16.52016 -19.419704 -21.653435 -21.25879 -19.86542 -20.293509 -22.747992 -24.06816 -23.245016 -24.261024 -25.24484
1521319793.928000 /muse/elements/low_freqs_absolute ffff  1.5753691 1.8838419 1.4107118 1.9507645
1521319793.928000 /muse/elements/alpha_absolute ffff  1.1117039 0.8018792 0.2710853 1.2355584
1521319793.929000 /muse/elements/beta_absolute ffff  1.3513234 0.44150105 0.42041904 0.9045185
1521319793.929000 /muse/elements/delta_absolute ffff  1.3546958 1.8319811 1.3389301 1.8360634
1521319793.929000 /muse/elements/gamma_absolute ffff  1.0293267 0.14878827 0.15161109 0.38862535
1521319793.929000 /muse/elements/theta_absolute ffff  1.1756601 0.9352238 0.59354454 1.3164588
1521319793.929000 /muse/elements/alpha_session_score ffff  0.0 1.0 0.4716981 0.75609756
1521319793.929000 /muse/elements/beta_session_score ffff  0.17391305 0.8 0.6666667 0.9375
1521319793.929000 /muse/elements/delta_session_score ffff  1.0 1.0 1.0 1.0
1521319793.929000 /muse/elements/gamma_session_score ffff  0.0 0.48 0.54761904 0.4857143
1521319793.929000 /muse/elements/theta_session_score ffff  0.7222222 0.9764706 0.9583333 1.0
1521319793.929000 /muse/eeg ffff  817.555236816 822.49017334 843.874938965 827.425109863
1521319793.929000 /muse/eeg ffff  860.324707031 832.360046387 840.584960938 832.360046387
1521319793.929000 /muse/eeg ffff  830.715087891 830.715087891 840.584960938 848.809875488
1521319793.929000 /muse/eeg ffff  840.584960938 830.715087891 838.940002441 855.389770508
1521319793.929000 /muse/eeg ffff  817.555236816 834.005004883 835.650024414 842.229919434
1521319793.929000 /muse/eeg ffff  852.09979248 829.070068359 835.650024414 847.164855957
1521319793.929000 /muse/eeg ffff  806.040344238 830.715087891 835.650024414 843.874938965
1521319793.929000 /muse/eeg ffff  860.324707031 838.940002441 838.940002441 847.164855957
1521319793.929000 /muse/eeg ffff  814.265258789 834.005004883 837.29498291 855.389770508
1521319793.929000 /muse/acc fff  -320.312988281 929.688964844 101.562660217
1521319793.935000 /muse/acc fff  -320.312988281 933.595214844 101.562660217
1521319793.952000 /muse/acc fff  -320.312988281 933.595214844 101.562660217
1521319793.968000 /muse/drlref ff  1629032.25 1648387.125
1521319793.968000 /muse/acc fff  -320.312988281 933.595214844 105.468917847
1521319794.035000 /muse/eeg ffff  812.620300293 835.650024414 835.650024414 848.809875488
1521319794.035000 /muse/eeg/quantization iiii  1 1 1 1
1521319794.035000 /muse/eeg ffff  815.91027832 830.715087891 827.425109863 832.360046387
1521319794.035000 /muse/eeg ffff  783.010620117 825.780151367 825.780151367 829.070068359
1521319794.035000 /muse/eeg ffff  850.454833984 830.715087891 835.650024414 838.940002441
1521319794.035000 /muse/eeg ffff  825.780151367 829.070068359 845.519897461 838.940002441
1521319794.035000 /muse/eeg ffff  842.229919434 835.650024414 843.874938965 845.519897461
1521319794.035000 /muse/eeg ffff  812.620300293 829.070068359 840.584960938 842.229919434
1521319794.035000 /muse/eeg ffff  810.975280762 822.49017334 837.29498291 834.005004883
1521319794.035000 /muse/eeg ffff  804.395385742 830.715087891 834.005004883 824.135131836
1521319794.035000 /muse/eeg ffff  838.940002441 832.360046387 843.874938965 845.519897461
1521319794.035000 /muse/eeg ffff  815.91027832 824.135131836 842.229919434 822.49017334
1521319794.035000 /muse/eeg ffff  830.715087891 819.200195312 837.29498291 817.555236816
1521319794.035000 /muse/eeg ffff  802.750427246 812.620300293 843.874938965 825.780151367
1521319794.036000 /muse/elements/alpha_relative ffff  0.15451229 0.07084824 0.05670354 0.14889865
1521319794.036000 /muse/elements/beta_relative ffff  0.26827645 0.029051293 0.079934865 0.06548009
1521319794.036000 /muse/elements/delta_relative ffff  0.27036777 0.7841376 0.70370483 0.5923407
1521319794.036000 /muse/elements/gamma_relative ffff  0.12781619 0.015370911 0.044616915 0.020418357
1521319794.036000 /muse/elements/theta_relative ffff  0.1790273 0.100591965 0.11503985 0.17286219
1521319794.036000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521319794.036000 /muse/elements/is_good iiii  0 1 1 1
1521319794.036000 /muse/elements/blink i  0
1521319794.036000 /muse/elements/jaw_clench i  0
1521319794.036000 /muse/elements/touching_forehead i  1
1521319794.036000 /muse/elements/experimental/concentration f  0.0
1521319794.036000 /muse/elements/experimental/mellow f  0.15068059
