1521324899.870000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  3.0344925 9.27682 5.9007673 5.4839396 3.471386 -0.33003235 -0.20812754 -6.0693603 -4.178645 -4.6958733 -8.854822 -10.009913 -13.349057 -10.035179 -13.022268 -13.905368 -7.647358 -9.927272 -12.294624 -12.097613 -18.572071 -10.0429125 -8.554965 -16.386084 -14.567202 -13.611841 -12.103861 -11.387618 -14.95167 -15.591987 -15.750879 -15.301748 -19.582043 -22.590935 -19.049809 -18.109594 -21.82759 -19.56638 -15.198891 -18.518032 -23.019743 -19.639318 -16.998573 -16.920387 -17.012495 -14.651088 -18.83414 -17.165272 -14.254716 -16.65764 -19.252018 -22.919764 -22.899708 -23.835236 -16.77258 -17.758728 -19.367008 -20.092709 -22.217741 -18.902212 -21.122957 -20.678957 -20.034975 -22.50636 -23.177689 -24.819536 -29.268843 -28.646496 -28.61146 -28.675152 -35.761127 -32.153458 -31.078012 -25.767796 -23.768167 -23.952112 -23.93178 -27.758984 -27.834892 -22.22589 -22.213327 -20.366583 -23.502638 -27.364687 -30.859459 -24.338295 -23.9478 -18.829231 -21.032005 -22.14538 -20.864231 -18.590183 -20.330112 -25.482979 -25.043917 -22.486696 -22.215118 -19.205252 -24.000168 -29.118814 -24.34893 -21.683039 -17.694756 -17.704185 -18.76027 -17.645945 -24.894524 -26.159973 -20.680552 -20.263065 -24.003311 -25.265272 -28.66339 -28.898426 -27.10032 -25.912218 -21.448488 -22.646582 -24.50578 -27.69811 -22.366566 -26.86476 -28.712133 -25.882315 -31.38419 -28.019709 -27.321 -29.984243 -28.717775
1521324899.871000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.612186 14.100099 15.942428 11.67826 13.719458 10.979019 4.572143 6.430596 -0.52985305 1.6656741 -2.6660209 -0.9373315 -3.9191413 0.95301723 -3.4275646 0.8326422 1.9408494 -1.5687945 -7.614729 -6.494192 -10.449833 -6.92658 -2.6345112 -3.587592 -11.59801 -9.2305565 -7.3849597 -10.734014 -11.535262 -7.066534 -7.362985 -8.459994 -5.6044927 -8.429783 -5.377708 -2.8418553 -7.149043 -9.569208 -4.5098224 -4.4468117 -6.4691057 -5.9336743 -6.0089464 -8.15458 -10.57399 -8.231758 -9.53667 -8.309532 -7.720968 -10.84881 -13.574741 -11.873654 -11.36569 -16.809551 -9.891628 -10.661979 -13.161878 -9.617613 -9.728215 -11.915593 -11.1032915 -10.154953 -12.598008 -13.408692 -18.496868 -16.707954 -15.43009 -21.462112 -21.521093 -26.036882 -23.822662 -21.815298 -20.194395 -20.818893 -19.038872 -21.245876 -17.760885 -10.149591 -13.291555 -12.353939 -12.578507 -16.359453 -15.658578 -12.400308 -12.105854 -12.360788 -14.174388 -14.666089 -11.938355 -14.60949 -18.98102 -10.356051 -11.360123 -20.031279 -15.971748 -12.813985 -15.689583 -18.863056 -18.87365 -13.856201 -12.575544 -13.724917 -16.175062 -17.859636 -15.805724 -17.312162 -17.608212 -19.259544 -12.962804 -8.875723 -12.391961 -15.920416 -18.843555 -19.364992 -14.722279 -12.336059 -14.221844 -16.243666 -16.710762 -19.332878 -18.342232 -20.678518 -24.596544 -22.823034 -18.165073 -20.715755 -23.389847 -23.352987 -24.311554
1521324899.872000 /muse/elements/low_freqs_absolute ffff  0.6403795 1.2005094 1.2756561 0.74779373
1521324899.872000 /muse/elements/alpha_absolute ffff  0.24306777 0.21288577 0.07888568 0.42839468
1521324899.872000 /muse/elements/beta_absolute ffff  0.31453377 -0.09877073 -0.0011094449 0.5376547
1521324899.872000 /muse/elements/delta_absolute ffff  0.090144545 1.0777565 1.1638367 0.20566612
1521324899.872000 /muse/elements/gamma_absolute ffff  0.25962 -0.3663861 -0.5232099 0.5820095
1521324899.873000 /muse/elements/theta_absolute ffff  0.49669388 0.5918251 0.63167816 0.6008871
1521324899.873000 /muse/elements/alpha_session_score ffff  0.0 0.49056605 0.17948718 0.0
1521324899.873000 /muse/elements/beta_session_score ffff  0.0 0.0 0.29166666 0.25
1521324899.873000 /muse/elements/delta_session_score ffff  0.0 0.8898305 0.7058824 0.0
1521324899.873000 /muse/elements/gamma_session_score ffff  0.359375 0.06666667 0.0 0.85714287
1521324899.873000 /muse/elements/theta_session_score ffff  0.2682927 0.88235295 0.8045977 0.41379312
1521324899.873000 /muse/eeg ffff  827.4251 843.87494 843.87494 832.36005
1521324899.873000 /muse/eeg ffff  827.4251 843.87494 840.58496 829.07007
1521324899.873000 /muse/eeg ffff  832.36005 842.2299 837.295 837.295
1521324899.873000 /muse/eeg ffff  825.78015 842.2299 837.295 838.94
1521324899.873000 /muse/eeg ffff  822.4902 843.87494 835.65 855.3898
1521324899.874000 /muse/eeg ffff  817.55524 838.94 834.005 852.0998
1521324899.874000 /muse/eeg ffff  820.8452 838.94 835.65 842.2299
1521324899.874000 /muse/eeg ffff  832.36005 842.2299 838.94 829.07007
1521324899.874000 /muse/eeg ffff  822.4902 838.94 842.2299 827.4251
1521324899.874000 /muse/eeg ffff  832.36005 838.94 843.87494 835.65
1521324899.874000 /muse/eeg ffff  822.4902 838.94 842.2299 838.94
1521324899.874000 /muse/eeg ffff  830.7151 840.58496 842.2299 842.2299
1521324899.874000 /muse/eeg ffff  820.8452 838.94 843.87494 838.94
1521324899.874000 /muse/eeg ffff  825.78015 838.94 847.16486 843.87494
1521324899.874000 /muse/acc fff  -167.96901 972.6578 121.09394
1521324899.874000 /muse/acc fff  -167.96901 968.7515 121.09394
1521324899.874000 /muse/acc fff  -167.96901 968.7515 121.09394
1521324899.874000 /muse/acc fff  -167.96901 968.7515 121.09394
1521324899.874000 /muse/eeg ffff  820.8452 842.2299 847.16486 842.2299
1521324899.874000 /muse/eeg/quantization iiii  1 1 1 1
1521324899.875000 /muse/eeg ffff  815.9103 840.58496 843.87494 835.65
1521324899.875000 /muse/eeg ffff  820.8452 842.2299 843.87494 829.07007
1521324899.875000 /muse/eeg ffff  817.55524 843.87494 842.2299 829.07007
1521324899.875000 /muse/eeg ffff  824.13513 845.5199 842.2299 830.7151
1521324899.875000 /muse/eeg ffff  817.55524 843.87494 842.2299 834.005
1521324899.875000 /muse/eeg ffff  837.295 847.16486 843.87494 832.36005
1521324899.875000 /muse/eeg ffff  829.07007 847.16486 843.87494 834.005
1521324899.875000 /muse/elements/alpha_relative ffff  0.18080778 0.09635752 0.060386762 0.18910618
1521324899.875000 /muse/elements/beta_relative ffff  0.2068795 0.043822438 0.04958076 0.2306916
1521324899.875000 /muse/elements/delta_relative ffff  0.13366961 0.6325066 0.67146116 0.09078433
1521324899.875000 /muse/elements/gamma_relative ffff  0.18164642 0.024200546 0.015418923 0.2453931
