1521333253.267000 /muse/acc fff  257.8129 945.31396 128.90645
1521333253.280000 /muse/eeg ffff  820.8452 876.77454 799.46045 804.3954
1521333253.280000 /muse/eeg/quantization iiii  1 1 1 1
1521333253.280000 /muse/eeg ffff  824.13513 880.06445 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  820.8452 878.4195 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  815.9103 880.06445 799.46045 807.68536
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 801.1054 814.26526
1521333253.280000 /muse/eeg ffff  824.13513 875.1295 802.7504 812.6203
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 804.3954 810.9753
1521333253.280000 /muse/eeg ffff  799.46045 878.4195 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  794.5255 878.4195 804.3954 809.3303
1521333253.280000 /muse/eeg ffff  786.3006 876.77454 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  797.8155 878.4195 804.3954 817.55524
1521333253.280000 /muse/eeg ffff  794.5255 880.06445 804.3954 814.26526
1521333253.281000 /muse/elements/alpha_relative ffff  0.33539987 0.15481347 0.07356947 0.20077762
1521333253.281000 /muse/elements/beta_relative ffff  0.11651733 0.048576456 0.056840967 0.22672576
1521333253.281000 /muse/elements/delta_relative ffff  0.35301116 0.70602554 0.7848823 0.3812916
1521333253.281000 /muse/elements/gamma_relative ffff  0.117744 0.016415695 0.014686457 0.09510437
1521333253.281000 /muse/elements/theta_relative ffff  0.07732763 0.07416887 0.07002082 0.096100636
1521333253.281000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333253.281000 /muse/elements/is_good iiii  1 1 1 1
1521333253.281000 /muse/elements/blink i  0
1521333253.281000 /muse/elements/jaw_clench i  0
1521333253.281000 /muse/elements/touching_forehead i  1
1521333253.281000 /muse/elements/experimental/concentration f  0.0
1521333253.281000 /muse/elements/experimental/mellow f  0.0
1521333254.957000 /muse/elements/theta_session_score ffff  0.954023 0.10714286 0.2580645 0.19444445
1521333254.957000 /muse/eeg ffff  774.785766602 852.09979248 819.200195312 814.265258789
1521333254.967000 /muse/acc fff  273.437927246 937.501464844 125.000198364
1521333254.985000 /muse/acc fff  273.437927246 941.407714844 128.906448364
1521333254.985000 /muse/drlref ff  1641935.5 1645161.25
1521333254.999000 /muse/acc fff  273.437927246 941.407714844 128.906448364
1521333255.014000 /muse/acc fff  273.437927246 941.407714844 132.812713623
1521333255.039000 /muse/eeg ffff  768.205810547 850.454833984 817.555236816 804.395385742
1521333255.039000 /muse/eeg/quantization iiii  1 1 1 1
1521333255.039000 /muse/eeg ffff  779.720703125 853.744812012 817.555236816 807.68536377
1521333255.039000 /muse/eeg ffff  787.945556641 857.034729004 815.91027832 807.68536377
1521333255.039000 /muse/eeg ffff  779.720703125 857.034729004 815.91027832 812.620300293
1521333255.039000 /muse/eeg ffff  781.365661621 857.034729004 814.265258789 809.330322266
1521333255.039000 /muse/eeg ffff  778.075683594 860.324707031 817.555236816 812.620300293
1521333255.039000 /muse/eeg ffff  776.430725098 860.324707031 817.555236816 812.620300293
1521333255.039000 /muse/eeg ffff  781.365661621 861.969726562 814.265258789 810.975280762
1521333255.039000 /muse/eeg ffff  781.365661621 863.614685059 815.91027832 809.330322266
1521333255.039000 /muse/eeg ffff  774.785766602 863.614685059 814.265258789 806.040344238
1521333255.039000 /muse/eeg ffff  773.14074707 865.259643555 815.91027832 807.68536377
1521333255.039000 /muse/eeg ffff  778.075683594 865.259643555 814.265258789 810.975280762
1521333255.039000 /muse/eeg ffff  774.785766602 865.259643555 815.91027832 812.620300293
1521333255.039000 /muse/eeg ffff  778.075683594 865.259643555 815.91027832 809.330322266
1521333255.039000 /muse/eeg ffff  779.720703125 865.259643555 814.265258789 804.395385742
1521333255.039000 /muse/eeg ffff  781.365661621 865.259643555 814.265258789 806.040344238
1521333255.039000 /muse/acc fff  265.625427246 933.595214844 128.906448364
1521333255.044000 /muse/acc fff  257.812896729 937.501464844 125.000198364
1521333255.094000 /muse/acc fff  265.625427246 933.595214844 136.718963623
1521333255.094000 /muse/drlref ff  1641935.5 1648387.125
1521333255.100000 /muse/acc fff  265.625427246 937.501464844 140.625213623
1521333255.101000 /muse/eeg ffff  779.720703125 865.259643555 809.330322266 801.105407715
1521333255.101000 /muse/eeg/quantization iiii  1 1 1 1
1521333255.101000 /muse/eeg ffff  784.655639648 868.549621582 809.330322266 799.460449219
1521333255.101000 /muse/eeg ffff  787.945556641 868.549621582 809.330322266 804.395385742
1521333255.101000 /muse/eeg ffff  784.655639648 870.194580078 809.330322266 804.395385742
1521333255.101000 /muse/eeg ffff  786.300598145 871.839599609 809.330322266 806.040344238
1521333255.102000 /muse/elements/alpha_relative ffff  0.16662127 0.07715951 0.07209462 0.09959914
1521333255.102000 /muse/elements/beta_relative ffff  0.09410712 0.03249116 0.04217332 0.099756464
1521333255.102000 /muse/elements/delta_relative ffff  0.4400708 0.8374511 0.7883368 0.7071515
1521333255.102000 /muse/elements/gamma_relative ffff  0.026754685 0.008757207 0.015188133 0.038087666
1521333255.102000 /muse/elements/theta_relative ffff  0.2724461 0.044141006 0.08220711 0.055405244
1521333255.102000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333255.102000 /muse/elements/is_good iiii  1 1 1 1
1521333255.102000 /muse/elements/blink i  0
1521333255.102000 /muse/elements/jaw_clench i  0
1521333255.102000 /muse/elements/touching_forehead i  1
1521333255.102000 /muse/elements/experimental/concentration f  0.0
1521333255.102000 /muse/elements/experimental/mellow f  0.0
1521333255.102000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  8.735927 14.377234 7.9650354 9.111667 8.44511 7.3940263 5.595952 3.7574265 3.9151814 -0.93690896 -4.6858788 -0.57574344 -4.3055077 -4.423569 -0.8726907 -0.8190862 -2.4376812 -4.685788 -6.169871 -2.6598268 -7.503284 -6.61233 -9.129014 -8.2029 -12.350532 -9.35323 -12.878694 -12.310245 -7.5480056 -7.915592 -10.267227 -11.567123 -15.365966 -13.186786 -12.177584 -11.241614 -13.876831 -12.647258 -15.183603 -17.261671 -12.730047 -13.970181 -13.416338 -11.082905 -11.315844 -12.363468 -15.841072 -12.394221 -10.367857 -11.076603 -14.988434 -15.681415 -8.972805 -12.060934 -14.07535 -13.527206 -16.447136 -11.165142 -10.450793 -10.975728 -16.060621 -18.332787 -14.956482 -16.777342 -17.55005 -17.378155 -20.525368 -22.512468 -23.386694 -27.76577 -29.752972 -23.441038 -19.702835 -22.148966 -23.192719 -23.82943 -17.851048 -15.058884 -17.608364 -19.214392 -16.094713 -10.926779 -10.333224 -16.77506 -18.685324 -13.668983 -14.439982 -18.01068 -21.869844 -18.229086 -18.558926 -19.35778 -11.545374 -14.414799 -15.386534 -12.5942545 -11.795979 -12.543286 -14.507809 -18.315796 -21.90808 -16.947338 -20.48177 -14.406936 -18.017513 -19.33417 -15.421045 -17.120909 -20.631489 -21.40652 -20.318727 -13.366978 -14.463566 -14.907454 -16.388464 -25.208946 -19.978823 -19.198374 -22.398964 -17.772345 -22.610998 -19.696344 -14.989776 -21.422474 -22.235054 -20.437176 -26.30871 -20.893272 -23.642284
1521333255.103000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  12.310496 18.155424 8.765319 -3.2408268 -5.3288264 -11.183602 -9.342203 -8.953097 -10.613357 -14.40842 -15.308617 -12.355763 -14.925687 -9.888233 -9.809313 -8.877946 -12.950975 -16.025684 -18.33795 -16.337357 -18.50196 -22.194296 -18.302326 -20.643372 -17.193192 -16.758574 -24.803835 -20.553654 -15.081191 -14.579397 -17.643183 -21.140436 -22.232271 -21.120472 -20.88129 -20.652601 -22.960241 -21.830807 -21.56179 -25.55257 -29.725498 -21.358593 -22.551119 -23.48808 -23.23341 -25.068336 -22.840588 -23.23137 -19.855413 -20.608585 -23.706564 -24.607285 -21.858093 -22.973227 -24.149363 -27.82285 -27.32805 -20.541174 -25.32839 -25.426487 -27.344667 -30.634796 -29.508602 -27.870148 -27.487885 -22.129862 -24.72323 -27.889103 -33.14306 -33.040447 -34.557796 -32.784267 -35.144173 -32.48474 -30.929665 -29.44903 -26.94245 -27.405828 -28.07694 -29.174662 -26.187155 -24.125498 -25.697803 -28.336178 -29.832603 -28.75233 -24.175074 -25.189865 -30.836111 -30.275114 -25.989904 -24.843304 -23.802818 -27.095066 -26.286852 -23.502281 -23.898645 -30.11723 -28.101011 -26.288147 -25.705242 -28.997318 -26.053482 -24.644949 -30.251797 -26.933697 -26.906385 -27.19909 -28.243034 -27.647541 -29.17614 -32.653038 -30.66744 -26.047258 -27.62886 -31.753445 -31.493912 -30.145987 -28.99419 -28.711826 -36.716743 -31.674309 -28.373014 -32.459873 -33.71633 -30.676262 -30.709204 -29.23983 -25.803616
1521333255.103000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.155033 16.13616 6.6815715 -5.025435 -8.392774 -7.9272814 -10.252955 -15.350566 -18.017138 -14.557926 -10.882967 -11.828172 -17.120617 -12.951828 -14.2302065 -17.993687 -14.517016 -15.025794 -20.243996 -14.800209 -13.193798 -18.197672 -19.872192 -14.761487 -15.814102 -17.793835 -19.446245 -16.670193 -19.36188 -22.369461 -27.00047 -23.500889 -17.82025 -16.934212 -22.775652 -22.003748 -21.77528 -20.257965 -21.884254 -29.497051 -28.196003 -22.866837 -18.818079 -15.991099 -15.686099 -21.066887 -24.38936 -27.348986 -23.826845 -21.26501 -19.748005 -27.963963 -21.147938 -19.717892 -19.18843 -21.024658 -23.220188 -22.245558 -21.239735 -23.322445 -20.478727 -24.321735 -29.257118 -26.485106 -26.025364 -27.377575 -25.428757 -29.623726 -35.882523 -32.523315 -32.07379 -32.10294 -35.113922 -33.958412 -28.784203 -31.5305 -31.345247 -33.854595 -31.923546 -30.024496 -25.658062 -25.732695 -23.430878 -26.704191 -27.110945 -27.22364 -27.827606 -32.28736 -28.04518 -26.72187 -23.409012 -21.083586 -22.474232 -19.654694 -24.963186 -24.278498 -24.934645 -23.859535 -28.022976 -29.74641 -31.626554 -27.407045 -26.862852 -27.691303 -32.175293 -32.002533 -25.316181 -25.262945 -27.777292 -33.462067 -29.915354 -25.33057 -29.209875 -27.648607 -28.28084 -29.196098 -30.91605 -28.458082 -28.256706 -27.77082 -31.509892 -27.539015 -30.023008 -36.170223 -34.269566 -30.405163 -32.70921 -31.821245 -28.128855
1521333255.104000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  8.631385 13.108667 8.492958 2.8273983 -4.7590213 -9.754197 -4.448633 -3.2561944 -8.928351 -9.132717 -10.061505 -6.610409 -9.862095 -12.362943 -8.749379 -9.900498 -10.72332 -7.4620333 -11.112751 -15.156132 -12.073135 -9.487583 -11.016928 -15.701489 -13.1489105 -6.8981943 -7.4626875 -12.973378 -12.341466 -11.872862 -16.903584 -15.368061 -5.6794925 -5.1684074 -10.216709 -10.686922 -12.553718 -9.14779 -8.884651 -15.637872 -16.186134 -13.362937 -15.977952 -15.902181 -18.484583 -16.824825 -15.90508 -11.0367775 -14.036892 -15.181613 -14.689456 -15.815858 -19.458809 -20.7925 -18.58503 -16.527672 -15.312348 -12.469051 -15.443569 -23.60823 -18.869766 -15.816347 -15.396145 -13.175732 -17.299015 -22.029018 -18.134588 -18.931843 -23.275137 -23.826473 -21.275173 -30.004698 -27.555357 -21.737343 -26.056519 -21.159452 -21.709217 -23.853594 -22.309076 -19.991564 -17.409746 -18.55052 -21.336878 -18.137001 -16.799232 -16.805 -18.624954 -15.274601 -18.488253 -25.333126 -12.8799 -11.043968 -14.018099 -15.876706 -15.944276 -16.289183 -16.41613 -16.029896 -14.051647 -17.54771 -14.898301 -19.742716 -25.956373 -21.003708 -20.296532 -19.857237 -14.917644 -15.969457 -18.267479 -15.758998 -21.294695 -21.832829 -18.40212 -20.561266 -17.485771 -18.48489 -23.357573 -21.717888 -20.898779 -23.880812 -23.39358 -22.780651 -22.515236 -25.277252 -32.823463 -25.162598 -23.427431 -28.415615 -31.701616
1521333255.104000 /muse/elements/low_freqs_absolute ffff  1.4501396 0.970205 0.8581555 1.1481996
1521333255.104000 /muse/elements/alpha_absolute ffff  0.8190749 -0.08767322 -0.22373232 0.26418293
1521333255.104000 /muse/elements/beta_absolute ffff  0.57096696 -0.4632975 -0.45659742 0.2648684
1521333255.104000 /muse/elements/delta_absolute ffff  1.240867 0.9478968 0.8150766 1.1154398
1521333255.104000 /muse/elements/gamma_absolute ffff  0.02474432 -1.0326971 -0.9001308 -0.15328825
1521333255.104000 /muse/elements/theta_absolute ffff  1.0326251 -0.33022046 -0.16672581 0.009478244
1521333255.104000 /muse/elements/alpha_session_score ffff  0.40963855 0.23913044 0.18604651 0.270073
1521333255.104000 /muse/elements/beta_session_score ffff  0.51428574 0.15555556 0.29545453 0.5
1521333255.104000 /muse/elements/delta_session_score ffff  0.5619048 0.54867256 0.40875912 0.62204725
1521333255.104000 /muse/elements/gamma_session_score ffff  0.0 0.0 0.23076923 0.25
1521333255.104000 /muse/elements/theta_session_score ffff  1.0 0.10714286 0.2451613 0.18518518
1521333255.104000 /muse/eeg ffff  781.365661621 870.194580078 809.330322266 806.040344238
1521333255.105000 /muse/eeg ffff  778.075683594 871.839599609 809.330322266 807.68536377
1521333255.105000 /muse/eeg ffff  791.235534668 873.484558105 806.040344238 810.975280762
1521333255.105000 /muse/eeg ffff  792.880554199 871.839599609 806.040344238 809.330322266
1521333255.105000 /muse/eeg ffff  784.655639648 870.194580078 804.395385742 806.040344238
1521333255.105000 /muse/eeg ffff  783.010620117 871.839599609 801.105407715 799.460449219
1521333255.105000 /muse/eeg ffff  787.945556641 873.484558105 802.750427246 804.395385742
1521333255.105000 /muse/eeg ffff  796.170471191 871.839599609 801.105407715 810.975280762
1521333255.105000 /muse/eeg ffff  802.750427246 871.839599609 801.105407715 812.620300293
1521333255.105000 /muse/eeg ffff  810.975280762 880.064453125 797.815490723 807.68536377
1521333255.105000 /muse/eeg ffff  806.040344238 886.64440918 791.235534668 794.525512695
1521333255.116000 /muse/acc fff  261.719146729 945.313964844 140.625213623
1521333255.134000 /muse/acc fff  261.719146729 945.313964844 144.531478882
1521333255.148000 /muse/acc fff  257.812896729 941.407714844 144.531478882
1521333255.172000 /muse/eeg ffff  802.750427246 888.289367676 789.590576172 791.235534668
1521333255.172000 /muse/eeg/quantization iiii  1 1 1 1
1521333255.172000 /muse/eeg ffff  814.265258789 893.224304199 787.945556641 797.815490723
1521333255.172000 /muse/eeg ffff  806.040344238 891.579345703 786.300598145 794.525512695
1521333255.172000 /muse/eeg ffff  820.845214844 888.289367676 786.300598145 796.170471191
1521333255.172000 /muse/eeg ffff  819.200195312 891.579345703 783.010620117 799.460449219
1521333255.172000 /muse/eeg ffff  814.265258789 889.934387207 784.655639648 799.460449219
1521333255.172000 /muse/eeg ffff  825.780151367 893.224304199 789.590576172 810.975280762
1521333255.172000 /muse/eeg ffff  827.425109863 893.224304199 789.590576172 812.620300293
1521333255.172000 /muse/eeg ffff  817.555236816 891.579345703 789.590576172 817.555236816
1521333255.172000 /muse/eeg ffff  810.975280762 891.579345703 792.880554199 822.49017334
1521333255.172000 /muse/eeg ffff  814.265258789 891.579345703 794.525512695 812.620300293
1521333255.173000 /muse/elements/alpha_relative ffff  0.1586271 0.08579113 0.081170805 0.11774898
1521333255.173000 /muse/elements/beta_relative ffff  0.08917277 0.03333665 0.046010263 0.108025454
1521333255.173000 /muse/elements/delta_relative ffff  0.45407733 0.8249895 0.7706506 0.67207044
1521333255.173000 /muse/elements/gamma_relative ffff  0.025600247 0.009075511 0.01658413 0.042453837
1521333255.173000 /muse/elements/theta_relative ffff  0.27252257 0.04680718 0.085584156 0.059701275
1521333255.173000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333255.173000 /muse/elements/is_good iiii  1 1 1 1
1521333255.173000 /muse/elements/blink i  0
1521333255.173000 /muse/elements/jaw_clench i  0
1521333255.173000 /muse/elements/touching_forehead i  1
1521333255.173000 /muse/elements/experimental/concentration f  0.0
1521333255.173000 /muse/elements/experimental/mellow f  0.0
1521333255.174000 /muse/elements/raw_fft0 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  7.862625 13.95841 7.7256355 9.834654 8.833377 7.722219 5.95569 3.8783913 4.098952 -0.66666216 -3.9956226 -0.6388279 -4.081619 -3.9641864 -1.1105987 -0.92045647 -2.825983 -3.898161 -5.587714 -2.9138298 -7.4099793 -6.9545603 -9.768296 -8.854183 -10.406041 -8.878513 -13.743105 -11.612636 -7.5032725 -8.274774 -9.957969 -12.24281 -15.820153 -12.006521 -12.074092 -10.651647 -12.847848 -13.318044 -16.072176 -17.654455 -13.495208 -14.458556 -13.443997 -11.86005 -11.641346 -12.189569 -15.126964 -11.726156 -10.56108 -12.674097 -16.305372 -15.838316 -8.532822 -11.182476 -14.342109 -13.815534 -16.601578 -11.615169 -11.227926 -10.571696 -16.34371 -18.401136 -14.770749 -16.673838 -18.483051 -17.890348 -20.58154 -22.699192 -22.856552 -27.495121 -28.245598 -22.359793 -19.881878 -22.332226 -22.535913 -24.567484 -18.160389 -14.968219 -17.847727 -19.256765 -16.42702 -10.662441 -10.412346 -16.817768 -18.708895 -13.577601 -13.501597 -17.117157 -23.095886 -19.285162 -17.934973 -18.601574 -11.495082 -15.242737 -15.631351 -12.392577 -11.863828 -12.764574 -14.145518 -18.021832 -22.730465 -16.641489 -20.302538 -14.32598 -18.02229 -19.572292 -16.30817 -17.858213 -20.870523 -22.591955 -21.72065 -14.178874 -15.642922 -15.623378 -17.786398 -25.80481 -19.589973 -18.904173 -23.120228 -17.82319 -22.130709 -19.973454 -15.957427 -22.127926 -21.230724 -19.814247 -26.064571 -20.740438 -23.83632
1521333255.174000 /muse/elements/raw_fft1 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  11.926646 18.106005 8.8282385 -2.3265958 -4.552601 -10.8267145 -8.951769 -8.346219 -10.52923 -14.963492 -15.232922 -11.447928 -14.50505 -10.4445 -10.169989 -8.726825 -13.050564 -15.301213 -18.146631 -16.58637 -18.947037 -22.77791 -17.115292 -20.125628 -18.244324 -17.309937 -23.329227 -20.402601 -14.846061 -13.997353 -17.647497 -21.572456 -22.03634 -21.256437 -21.223946 -20.60121 -23.348675 -20.577494 -20.996807 -24.33378 -30.016476 -20.766388 -22.324999 -23.290142 -22.758997 -24.784037 -22.582676 -22.596561 -19.942146 -20.720991 -24.238485 -24.512415 -21.82176 -22.56496 -24.281239 -27.41617 -26.01641 -20.82373 -25.28564 -25.313211 -27.048502 -30.120655 -30.592701 -27.730965 -26.135557 -21.83434 -23.81744 -27.080883 -33.385128 -33.970608 -33.93647 -31.83068 -38.475296 -32.05595 -32.0696 -28.911077 -27.156343 -27.670174 -27.420547 -29.093113 -25.781368 -24.81226 -25.568804 -28.768415 -30.498716 -28.46572 -24.896843 -24.9522 -29.131094 -27.756441 -25.897835 -24.766825 -22.960175 -27.217089 -25.655668 -22.498938 -23.879498 -28.900095 -29.01567 -27.88744 -25.471992 -28.629827 -26.023912 -24.492348 -28.927166 -28.448921 -27.03495 -27.51487 -28.685425 -28.298964 -28.587254 -31.945387 -29.708778 -26.36922 -27.372616 -31.4081 -30.327171 -30.12488 -28.614614 -28.897131 -34.90457 -31.636356 -28.809786 -31.927794 -34.94171 -30.468487 -31.803314 -28.933329 -24.534624
1521333255.175000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  10.387079 16.23643 6.6445656 -4.95146 -7.9243813 -7.646056 -11.485395 -14.030962 -17.167744 -14.155105 -10.725699 -11.947911 -17.10304 -13.400266 -14.814025 -18.394321 -14.541119 -14.679173 -18.672018 -14.650195 -13.060524 -17.916996 -18.827051 -14.983195 -15.989916 -17.550673 -19.37094 -16.868345 -19.415533 -22.716143 -27.087868 -22.907911 -17.871176 -16.279661 -22.218094 -21.82809 -21.905409 -19.917477 -21.401173 -29.636751 -26.842505 -23.574474 -19.12257 -16.073975 -16.288588 -21.494688 -24.379902 -26.17648 -24.401451 -21.483149 -20.038027 -29.372965 -20.828163 -19.84895 -19.305054 -21.342218 -22.335314 -22.474058 -21.197466 -23.788378 -20.902178 -24.205246 -28.292728 -26.665304 -25.469124 -26.835342 -25.524973 -30.105694 -35.94562 -32.56896 -31.550661 -31.544916 -34.95079 -33.377445 -28.34906 -31.99858 -31.922972 -34.816647 -31.66204 -29.992924 -27.108517 -25.769306 -22.764305 -26.884905 -27.781984 -27.185535 -27.04456 -32.55495 -28.4774 -28.016973 -23.98537 -21.645458 -22.588627 -19.917845 -26.1102 -25.084272 -24.93637 -23.754862 -28.3687 -29.625248 -30.635595 -26.111246 -26.913929 -28.763254 -32.401516 -32.274044 -26.034592 -25.52829 -27.254606 -34.214542 -29.37959 -24.621399 -29.733206 -26.687723 -27.95775 -29.479328 -30.736042 -28.116957 -28.402542 -27.952156 -30.815107 -26.86975 -29.987698 -34.553352 -34.067284 -30.545704 -32.61416 -31.801676 -28.07012
1521333255.175000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  9.403715 13.9188595 8.716603 3.104076 -4.68733 -9.1395445 -4.5090084 -3.0673633 -9.410873 -8.614669 -8.430201 -6.7353134 -9.348003 -12.43462 -9.239711 -10.194942 -10.229333 -6.742263 -11.260299 -15.569963 -11.862991 -9.426758 -11.255844 -15.916686 -13.524987 -6.9049463 -7.0451155 -12.962908 -12.7784195 -11.575915 -16.735888 -16.035948 -5.978951 -5.188739 -10.083459 -10.713498 -12.635911 -8.930727 -8.654675 -16.669611 -17.036175 -13.68824 -15.91583 -15.555041 -18.48835 -16.723856 -15.764336 -10.205344 -13.893061 -14.3038435 -13.722539 -15.917201 -20.722443 -21.293676 -20.155828 -17.447285 -15.221154 -12.712506 -14.935939 -21.577082 -18.652588 -16.088013 -15.129021 -13.280422 -17.50539 -21.967281 -18.283344 -18.635004 -22.44172 -22.958603 -21.285751 -29.389824 -27.449932 -21.94806 -27.338614 -21.933132 -22.114536 -23.656738 -21.987642 -19.769522 -18.201054 -18.462185 -20.687382 -18.42277 -17.900469 -17.841713 -18.614895 -14.909164 -18.385927 -28.557917 -13.123278 -11.066011 -13.981805 -14.797419 -15.596226 -16.714273 -16.5933 -15.913612 -14.302022 -17.147633 -14.704021 -19.047417 -26.622684 -20.80728 -20.514994 -19.881603 -15.25855 -16.263412 -18.093094 -16.331604 -20.81644 -21.525764 -18.030273 -19.986593 -16.81861 -17.894855 -23.86906 -21.26419 -20.860668 -23.67422 -22.905336 -22.86876 -22.48407 -24.797796 -32.168537 -25.146458 -22.805235 -26.4436 -30.973608
1521333255.175000 /muse/elements/low_freqs_absolute ffff  1.4771988 0.94029564 0.79928017 1.0889071
1521333255.175000 /muse/elements/alpha_absolute ffff  0.81628084 -0.06667721 -0.22391286 0.2954887
1521333255.175000 /muse/elements/beta_absolute ffff  0.56613576 -0.47719762 -0.47045797 0.25805762
1521333255.175000 /muse/elements/delta_absolute ffff  1.2730334 0.91632885 0.75354487 1.0519463
1521333255.175000 /muse/elements/gamma_absolute ffff  0.024147678 -1.0422485 -0.91362 -0.14755154
1521333255.176000 /muse/elements/theta_absolute ffff  1.051306 -0.32980713 -0.20091935 0.0005151296
1521333255.176000 /muse/elements/alpha_session_score ffff  0.39759037 0.26086956 0.18604651 0.2919708
1521333255.176000 /muse/elements/beta_session_score ffff  0.4857143 0.11111111 0.27272728 0.5
1521333255.176000 /muse/elements/delta_session_score ffff  0.59615386 0.5225225 0.3649635 0.5748032
1521333255.176000 /muse/elements/gamma_session_score ffff  0.0 0.0 0.21538462 0.27272728
1521333255.176000 /muse/elements/theta_session_score ffff  1.0 0.10714286 0.22580644 0.17592593
1521333255.176000 /muse/eeg ffff  804.395385742 889.934387207 791.235534668 814.265258789
1521333255.176000 /muse/eeg ffff  810.975280762 889.934387207 789.590576172 812.620300293
1521333255.176000 /muse/eeg ffff  804.395385742 889.934387207 787.945556641 814.265258789
1521333255.176000 /muse/eeg ffff  796.170471191 889.934387207 791.235534668 820.845214844
1521333255.176000 /muse/eeg ffff  802.750427246 889.934387207 794.525512695 820.845214844
1521333255.182000 /muse/acc fff  250.000396729 941.407714844 144.531478882
1521333255.198000 /muse/acc fff  250.000396729 941.407714844 144.531478882
1521333255.198000 /muse/drlref ff  1641935.5 1648387.125
1521333255.212000 /muse/acc fff  257.812896729 937.501464844 144.531478882
1521333255.237000 /muse/acc fff  257.812896729 941.407714844 144.531478882
1521333255.252000 /muse/eeg ffff  801.105407715 889.934387207 794.525512695 817.555236816
1521333255.252000 /muse/eeg/quantization iiii  1 1 1 1
1521333255.253000 /muse/eeg ffff  802.750427246 888.289367676 797.815490723 824.135131836
1521333255.253000 /muse/eeg ffff  804.395385742 889.934387207 796.170471191 824.135131836
1521333255.253000 /muse/eeg ffff  804.395385742 889.934387207 796.170471191 820.845214844
1521333255.253000 /muse/eeg ffff  812.620300293 888.289367676 796.170471191 825.780151367
1521333255.253000 /muse/eeg ffff  812.620300293 888.289367676 796.170471191 825.780151367
1521333255.253000 /muse/eeg ffff  815.91027832 888.289367676 796.170471191 820.845214844
1521333255.253000 /muse/eeg ffff  806.040344238 888.289367676 797.815490723 822.49017334
1521333255.254000 /muse/eeg ffff  809.330322266 886.64440918 799.460449219 824.135131836
1521333255.255000 /muse/eeg ffff  814.265258789 886.64440918 797.815490723 820.845214844
1521333255.255000 /muse/eeg ffff  820.845214844 886.64440918 797.815490723 824.135131836
1521333255.255000 /muse/eeg ffff  827.425109863 884.999450684 799.460449219 824.135131836
1521333255.255000 /muse/eeg ffff  814.265258789 881.709472656 797.815490723 827.425109863
1521333255.255000 /muse/eeg ffff  804.395385742 883.354431152 801.105407715 829.070068359
1521333255.255000 /muse/eeg ffff  802.750427246 881.709472656 802.750427246 835.650024414
1521333255.255000 /muse/eeg ffff  809.330322266 881.709472656 802.750427246 835.650024414
1521333255.255000 /muse/acc fff  253.906646729 945.313964844 144.531478882
1521333255.283000 /muse/acc fff  250.000396729 953.126464844 140.625213623
1521333255.297000 /muse/acc fff  261.719146729 945.313964844 140.625213623
1521333255.322000 /muse/drlref ff  1641935.5 1648387.125
1521333255.322000 /muse/eeg ffff  809.330322266 881.709472656 804.395385742 835.650024414
1521333255.322000 /muse/elements/alpha_relative ffff  0.15019661 0.09398064 0.093486406 0.1435779
1521333255.322000 /muse/elements/beta_relative ffff  0.08769282 0.03595913 0.05122745 0.11830014
1521333255.322000 /muse/elements/delta_relative ffff  0.4647502 0.80923414 0.7469566 0.6223482
1521333255.322000 /muse/elements/gamma_relative ffff  0.025359139 0.01016059 0.01888244 0.04894398
1521333255.322000 /muse/elements/theta_relative ffff  0.27200124 0.050665516 0.08944709 0.0668298
1521333255.322000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333255.322000 /muse/elements/is_good iiii  1 1 1 1
1521333255.322000 /muse/elements/blink i  0
1521333255.322000 /muse/elements/jaw_clench i  0
1521333255.323000 /muse/elements/touching_forehead i  1
