1521333253.267000 /muse/acc fff  257.8129 945.31396 128.90645
1521333253.280000 /muse/eeg ffff  820.8452 876.77454 799.46045 804.3954
1521333253.280000 /muse/eeg/quantization iiii  1 1 1 1
1521333253.280000 /muse/eeg ffff  824.13513 880.06445 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  820.8452 878.4195 799.46045 809.3303
1521333253.280000 /muse/eeg ffff  815.9103 880.06445 799.46045 807.68536
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 801.1054 814.26526
1521333253.280000 /muse/eeg ffff  824.13513 875.1295 802.7504 812.6203
1521333253.280000 /muse/eeg ffff  817.55524 876.77454 804.3954 810.9753
1521333253.280000 /muse/eeg ffff  799.46045 878.4195 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  794.5255 878.4195 804.3954 809.3303
1521333253.280000 /muse/eeg ffff  786.3006 876.77454 806.04034 814.26526
1521333253.280000 /muse/eeg ffff  797.8155 878.4195 804.3954 817.55524
1521333253.280000 /muse/eeg ffff  794.5255 880.06445 804.3954 814.26526
1521333253.281000 /muse/elements/alpha_relative ffff  0.33539987 0.15481347 0.07356947 0.20077762
1521333253.281000 /muse/elements/beta_relative ffff  0.11651733 0.048576456 0.056840967 0.22672576
1521333253.281000 /muse/elements/delta_relative ffff  0.35301116 0.70602554 0.7848823 0.3812916
1521333253.281000 /muse/elements/gamma_relative ffff  0.117744 0.016415695 0.014686457 0.09510437
1521333253.281000 /muse/elements/theta_relative ffff  0.07732763 0.07416887 0.07002082 0.096100636
1521333253.281000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333253.281000 /muse/elements/is_good iiii  1 1 1 1
1521333253.281000 /muse/elements/blink i  0
1521333253.281000 /muse/elements/jaw_clench i  0
1521333253.281000 /muse/elements/touching_forehead i  1
1521333253.281000 /muse/elements/experimental/concentration f  0.0
1521333253.281000 /muse/elements/experimental/mellow f  0.0
1521333253.283000 /muse/elements/raw_fft2 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  8.714877 14.7576275 6.187879 -0.91803575 -3.9412725 -8.578661 -8.886521 -9.478497 -10.452253 -12.5277405 -11.865146 -14.206285 -16.736631 -21.305023 -15.7626095 -21.328117 -14.414784 -14.77484 -14.634712 -16.207527 -16.803375 -14.530931 -14.244302 -15.25231 -20.556953 -20.45196 -24.766344 -22.06487 -18.645575 -16.701345 -21.880579 -16.615479 -14.068129 -20.359934 -25.987059 -24.795418 -21.370663 -21.970144 -23.289598 -21.894175 -21.60752 -23.159306 -25.824127 -22.962282 -24.603483 -22.73053 -22.996675 -21.989594 -21.860949 -26.614946 -22.717714 -23.882921 -22.959671 -18.192228 -21.987078 -21.672348 -20.63186 -25.31755 -23.720526 -19.345425 -20.944145 -23.85406 -25.534548 -25.582743 -22.371792 -25.227964 -30.800255 -30.247616 -34.134125 -30.062378 -25.031387 -29.253006 -32.15036 -27.186115 -26.798702 -25.334301 -28.039537 -24.438875 -26.63347 -30.575264 -21.86589 -26.022348 -26.71026 -27.97561 -29.110611 -23.265308 -25.013912 -30.06524 -29.26345 -28.207922 -27.862335 -20.014336 -22.268988 -31.200401 -24.545486 -25.829882 -25.406054 -25.943054 -27.038454 -24.77924 -23.038969 -26.544054 -26.486996 -21.200943 -20.65111 -27.25799 -28.67244 -28.61477 -29.359108 -33.01017 -33.173313 -26.880322 -25.401834 -29.161406 -27.17396 -28.15012 -30.366325 -29.904074 -33.60597 -28.050564 -29.339767 -26.999603 -26.317238 -29.902569 -29.299765 -33.451286 -35.053703 -35.12608 -29.7082
1521333253.283000 /muse/elements/raw_fft3 fffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff  4.9399014 10.1065035 -1.9012415 -6.6845865 -8.574294 -8.307575 -7.8180604 -7.0704556 -8.987478 -11.254633 -15.916426 -10.529715 -9.800277 -8.273064 -9.865986 -13.891176 -11.599058 -12.723757 -10.818869 -7.5226207 -5.0100565 -4.609828 -10.182461 -14.635137 -11.926511 -13.152704 -15.551232 -14.745876 -16.342943 -17.371204 -15.928169 -14.9288 -12.702729 -13.600852 -14.646301 -11.274598 -14.598596 -13.258395 -15.559513 -16.567455 -14.212806 -15.827498 -13.391841 -13.029651 -11.72364 -14.641743 -10.056765 -9.219986 -14.717043 -14.998682 -14.486772 -16.151974 -17.863108 -20.106125 -15.596989 -13.702737 -15.815286 -11.463576 -15.510293 -24.613783 -15.934206 -15.881499 -20.37837 -21.934294 -20.760391 -16.785513 -17.858044 -24.836992 -29.532604 -24.242002 -21.238249 -24.180635 -24.885632 -25.863577 -24.664083 -22.05244 -19.551601 -20.222063 -17.245913 -15.345735 -16.031853 -15.24277 -18.498755 -16.179113 -14.592626 -17.079203 -16.639875 -17.442558 -18.069757 -14.086509 -16.453217 -20.472069 -18.447424 -20.457214 -27.027082 -26.304659 -21.189857 -17.092506 -16.46259 -18.00141 -21.589329 -17.310223 -16.107187 -16.440435 -16.936745 -18.380112 -16.054031 -17.167282 -16.754503 -18.767767 -21.825516 -24.965893 -21.422876 -20.295946 -20.780493 -20.64269 -21.46977 -18.883486 -18.782108 -24.973475 -28.787048 -26.702242 -25.181313 -23.566092 -25.661291 -23.878414 -26.678148 -25.227114 -29.52479
1521333253.283000 /muse/elements/low_freqs_absolute ffff  0.8959994 0.9034303 0.7159977 0.5208603
1521333253.283000 /muse/elements/alpha_absolute ffff  0.78775173 0.2010362 -0.34922156 0.14470026
1521333253.283000 /muse/elements/beta_absolute ffff  0.3285794 -0.30234674 -0.46125773 0.19748582
1521333253.283000 /muse/elements/delta_absolute ffff  0.8099773 0.8600479 0.67888534 0.4232422
1521333253.283000 /muse/elements/gamma_absolute ffff  0.33312765 -0.77351326 -1.0490022 -0.17981459
1521333253.283000 /muse/elements/theta_absolute ffff  0.15052359 -0.118550904 -0.37069204 -0.1752888
1521333253.283000 /muse/elements/alpha_session_score ffff  0.3409091 0.5543478 0.046511628 0.19148937
1521333253.283000 /muse/elements/beta_session_score ffff  0.0 0.5 0.3043478 0.33333334
1521333253.283000 /muse/elements/delta_session_score ffff  0.15929204 0.45378152 0.34210527 0.08461539
1521333253.283000 /muse/elements/gamma_session_score ffff  0.42553192 0.23880596 0.08219178 0.21276596
1521333253.284000 /muse/elements/theta_session_score ffff  0.021978023 0.26 0.13125 0.018018018
1521333253.284000 /muse/eeg ffff  806.04034 880.06445 804.3954 815.9103
1521333253.284000 /muse/eeg ffff  804.3954 880.06445 802.7504 822.4902
1521333253.284000 /muse/eeg ffff  810.9753 878.4195 802.7504 827.4251
1521333253.284000 /muse/eeg ffff  814.26526 878.4195 802.7504 812.6203
1521333253.284000 /muse/acc fff  253.90665 953.12646 125.0002
1521333253.305000 /muse/acc fff  253.90665 945.31396 125.0002
1521333253.320000 /muse/acc fff  257.8129 941.4077 125.0002
1521333253.337000 /muse/drlref ff  1641935.5 1648387.1
1521333253.337000 /muse/acc fff  257.8129 941.4077 125.0002
1521333253.352000 /muse/eeg ffff  807.68536 878.4195 804.3954 824.13513
1521333253.353000 /muse/eeg/quantization iiii  1 1 1 1
1521333253.353000 /muse/eeg ffff  814.26526 880.06445 804.3954 820.8452
1521333253.353000 /muse/eeg ffff  814.26526 880.06445 802.7504 822.4902
1521333253.353000 /muse/eeg ffff  807.68536 878.4195 801.1054 825.78015
1521333253.353000 /muse/eeg ffff  807.68536 880.06445 801.1054 825.78015
1521333253.353000 /muse/eeg ffff  814.26526 881.7095 801.1054 825.78015
1521333253.353000 /muse/eeg ffff  819.2002 881.7095 801.1054 827.4251
1521333253.353000 /muse/eeg ffff  820.8452 880.06445 802.7504 824.13513
1521333253.353000 /muse/eeg ffff  806.04034 878.4195 801.1054 824.13513
1521333253.353000 /muse/eeg ffff  807.68536 878.4195 801.1054 827.4251
1521333253.353000 /muse/eeg ffff  814.26526 878.4195 802.7504 819.2002
1521333253.353000 /muse/eeg ffff  817.55524 878.4195 802.7504 819.2002
1521333253.353000 /muse/eeg ffff  822.4902 876.77454 802.7504 819.2002
1521333253.353000 /muse/eeg ffff  824.13513 878.4195 802.7504 820.8452
1521333253.353000 /muse/eeg ffff  819.2002 880.06445 801.1054 822.4902
1521333253.353000 /muse/eeg ffff  822.4902 880.06445 801.1054 820.8452
1521333253.353000 /muse/acc fff  257.8129 945.31396 121.09394
1521333253.402000 /muse/acc fff  257.8129 945.31396 121.09394
1521333253.403000 /muse/acc fff  265.62543 941.4077 121.09394
1521333253.420000 /muse/eeg ffff  825.78015 880.06445 801.1054 822.4902
1521333253.420000 /muse/eeg/quantization iiii  1 1 1 1
