1521333336.730000 /muse/acc fff  273.43793 937.50146 128.90645
1521333336.730000 /muse/eeg ffff  819.2002 861.9697 819.2002 819.2002
1521333336.730000 /muse/eeg/quantization iiii  1 1 1 1
1521333336.730000 /muse/eeg ffff  824.13513 863.6147 819.2002 812.6203
1521333336.730000 /muse/eeg ffff  824.13513 865.25964 817.55524 815.9103
1521333336.730000 /muse/eeg ffff  820.8452 863.6147 815.9103 815.9103
1521333336.730000 /muse/eeg ffff  825.78015 865.25964 815.9103 810.9753
1521333336.730000 /muse/eeg ffff  822.4902 863.6147 814.26526 814.26526
1521333336.730000 /muse/eeg ffff  825.78015 865.25964 814.26526 815.9103
1521333336.730000 /muse/eeg ffff  822.4902 866.90466 812.6203 817.55524
1521333336.730000 /muse/eeg ffff  822.4902 866.90466 809.3303 820.8452
1521333336.730000 /muse/eeg ffff  824.13513 870.1946 809.3303 815.9103
1521333336.730000 /muse/eeg ffff  810.9753 866.90466 809.3303 819.2002
1521333336.730000 /muse/eeg ffff  812.6203 865.25964 812.6203 827.4251
1521333336.730000 /muse/eeg ffff  820.8452 875.1295 806.04034 827.4251
1521333336.730000 /muse/eeg ffff  806.04034 881.7095 797.8155 807.68536
1521333336.730000 /muse/eeg ffff  812.6203 886.6444 797.8155 802.7504
1521333336.730000 /muse/eeg ffff  814.26526 893.2243 792.88055 801.1054
1521333336.737000 /muse/acc fff  269.53168 933.5952 128.90645
1521333336.759000 /muse/acc fff  277.34418 925.7827 136.71896
1521333336.790000 /muse/drlref ff  1641935.5 1645161.2
1521333336.790000 /muse/acc fff  281.25043 933.5952 132.81271
1521333336.790000 /muse/acc fff  273.43793 937.50146 136.71896
1521333336.817000 /muse/eeg ffff  817.55524 893.2243 791.23553 797.8155
1521333336.817000 /muse/eeg/quantization iiii  1 1 1 1
1521333336.817000 /muse/eeg ffff  814.26526 894.8693 786.3006 797.8155
1521333336.817000 /muse/eeg ffff  817.55524 898.15924 786.3006 801.1054
1521333336.817000 /muse/eeg ffff  815.9103 898.15924 783.0106 797.8155
1521333336.817000 /muse/eeg ffff  819.2002 898.15924 786.3006 804.3954
1521333336.817000 /muse/eeg ffff  842.2299 901.4492 784.65564 809.3303
1521333336.819000 /muse/elements/alpha_relative ffff  0.27953053 0.1363512 0.08239126 0.16269934
1521333336.819000 /muse/elements/beta_relative ffff  0.12686782 0.04906052 0.040491413 0.0942596
1521333336.819000 /muse/elements/delta_relative ffff  0.49222195 0.6686106 0.7374357 0.59018165
1521333336.819000 /muse/elements/gamma_relative ffff  0.05101841 0.008950222 0.0076676 0.028594688
1521333336.819000 /muse/elements/theta_relative ffff  0.050361298 0.13702747 0.13201404 0.12426471
1521333336.819000 /muse/elements/horseshoe ffff  1.0 1.0 1.0 1.0
1521333336.819000 /muse/elements/is_good iiii  1 1 1 1
1521333336.819000 /muse/elements/blink i  0
1521333336.819000 /muse/elements/jaw_clench i  0
1521333336.819000 /muse/elements/touching_forehead i  1
1521333336.819000 /muse/elements/experimental/concentration f  0.80739504
1521333336.819000 /muse/elements/experimental/mellow f  0.94691116
